row_label_raw,row_label_full,Chỉ tiêu,Mã số,31/12/2019(Trước điều chỉnh),Điều chỉnh hồi tố,31/12/2019(Sau điều chỉnh),numeric__Mã số,numeric__31/12/2019(Trước điều chỉnh),numeric__Điều chỉnh hồi tố,numeric__31/12/2019(Sau điều chỉnh)
,,,,VND,VND,VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
1. Phải thu ngắn hạn của khách hàng,TÀI SẢN > 1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7.197.201.963.812,(2.655.795.525),7.194.546.168.287,131.0,7197201963812.0,-2655795525.0,7194546168287.0
2. Phải thu ngắn hạn khác,TÀI SẢN > 2. Phải thu ngắn hạn khác,2. Phải thu ngắn hạn khác,136,272.094.735.805,8.273.040.034,280.367.775.839,136.0,272094735805.0,8273040034.0,280367775839.0
3. Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > 3. Dự phòng phải thu ngắn hạn khó đòi,3. Dự phòng phải thu ngắn hạn khó đòi,137,(413.140.663.914),4.410.722.136,(408.729.941.778),137.0,-413140663914.0,4410722136.0,-408729941778.0
4. Chi phí trả trước ngắn hạn,TÀI SẢN > 4. Chi phí trả trước ngắn hạn,4. Chi phí trả trước ngắn hạn,151,24.968.201.119,1.568.403.325,26.536.604.444,151.0,24968201119.0,1568403325.0,26536604444.0
5. Tài sản cố định hữu hình,TÀI SẢN > 5. Tài sản cố định hữu hình,5. Tài sản cố định hữu hình,221,24.204.711.260.590,4.745.080.324,24.209.456.340.914,221.0,24204711260590.0,4745080324.0,24209456340914.0
- Nguyên gió,TÀI SẢN > - Nguyên gió,- Nguyên gió,222,47.030.562.089.012,5.003.364.505,47.035.565.453.517,222.0,47030562089012.0,5003364505.0,47035565453517.0
- Giá trị hao mòn lũy kế,TÀI SẢN > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(22.825.850.828.422),(258.284.181),(22.826.109.112.603),223.0,-22825850828422.0,-258284181.0,-22826109112603.0
6. Chi phí xây dựng cơ bản dở dang,TÀI SẢN > 6. Chi phí xây dựng cơ bản dở dang,6. Chi phí xây dựng cơ bản dở dang,242,198.846.385.556,2.483.578.986,201.329.964.542,242.0,198846385556.0,2483578986.0,201329964542.0
7. Chi phí trả trước dài hạn,TÀI SẢN > 7. Chi phí trả trước dài hạn,7. Chi phí trả trước dài hạn,261,110.438.158.296,(1.075.310.881),109.362.847.415,261.0,110438158296.0,-1075310881.0,109362847415.0
NỘ PHẢI TRẢ VÀ NGUỒN VỐN,NỘ PHẢI TRẢ VÀ NGUỒN VỐN,NỘ PHẢI TRẢ VÀ NGUỒN VỐN,NỘ PHẢI TRẢ VÀ NGUỒN VỐN,NỘ PHẢI TRẢ VÀ NGUỒN VỐN,NỘ PHẢI TRẢ VÀ NGUỒN VỐN,NỘ PHẢI TRẢ VÀ NGUỒN VỐN,,,,
1. Thuế và các khoản phải nộp Nhà nước,NỘ PHẢI TRẢ VÀ NGUỒN VỐN > 1. Thuế và các khoản phải nộp Nhà nước,1. Thuế và các khoản phải nộp Nhà nước,313,96.723.901.647,1.557.679.479,98.281.581.126,313.0,96723901647.0,1557679479.0,98281581126.0
2. Lợi nhuận sau thuế chưa phân phối năm nay,NỘ PHẢI TRẢ VÀ NGUỒN VỐN > 2. Lợi nhuận sau thuế chưa phân phối năm nay,2. Lợi nhuận sau thuế chưa phân phối năm nay,421b,1.253.877.701.032,16.192.038.920,1.270.069.739.952,,1253877701032.0,16192038920.0,1270069739952.0
