row_label_raw,row_label_full,CHI NEU,MS 56,Nim ny,Nim turce (Tinth bay lat),numeric__MS 56,numeric__Nim ny,numeric__Nim turce (Tinth bay lat)
1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH,,,
2. TLEN TRA NO BGC VAY,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH > 2. TLEN TRA NO BGC VAY,2. TLEN TRA NO BGC VAY,34,(16.865.363.765.913),(12.508.903.450.373),34.0,-16865363765913.0,-12508903450373.0
3. C5 turc. for NHJAN DA TRA DO CHI SY HOU,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH > 3. C5 turc. for NHJAN DA TRA DO CHI SY HOU,3. C5 turc. for NHJAN DA TRA DO CHI SY HOU,36,(702.473.899.500),(633.471.367.387),36.0,-702473899500.0,-633471367387.0
LUN CHUYEN TEN THUAN TY HOOT DONG YER DR CHINH,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH > LUN CHUYEN TEN THUAN TY HOOT DONG YER DR CHINH,LUN CHUYEN TEN THUAN TY HOOT DONG YER DR CHINH,40,(4.337.599.227.619),(1.227.100.870.744),40.0,-4337599227619.0,-1227100870744.0
LUN CHUYEN TEN THUAN TY HOOT DING YER DR CHINH,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH > LUN CHUYEN TEN THUAN TY HOOT DING YER DR CHINH,LUN CHUYEN TEN THUAN TY HOOT DING YER DR CHINH,50,2.325.684.358.470,1.516.164.729.130,50.0,2325684358470.0,1516164729130.0
LUN CHUYEN TEN THUAN TY HOOT DING YER DR CHINH,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH > LUN CHUYEN TEN THUAN TY HOOT DING YER DR CHINH,LUN CHUYEN TEN THUAN TY HOOT DING YER DR CHINH,60,4.427.323.379.529,2.911.160.173.601,60.0,4427323379529.0,2911160173601.0
Any HUTUNG CUA TRY DBI DY GJA HOL DOAI,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH > Any HUTUNG CUA TRY DBI DY GJA HOL DOAI,Any HUTUNG CUA TRY DBI DY GJA HOL DOAI,61,3.969.614,(1.523.202),61.0,3969614.0,-1523202.0
TLEN VA TURNG DURING TEIN CUDI NAM (70=50+60+61),1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH > TLEN VA TURNG DURING TEIN CUDI NAM (70=50+60+61),TLEN VA TURNG DURING TEIN CUDI NAM (70=50+60+61),70,6.753.011.707.613,4.427.323.379.529,70.0,6753011707613.0,4427323379529.0
TLEN VA TURNG DURING TEIN CUDI NAM (70=50+60+61),1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH > TLEN VA TURNG DURING TEIN CUDI NAM (70=50+60+61),TLEN VA TURNG DURING TEIN CUDI NAM (70=50+60+61),70,,,70.0,,
TIGG COONG TY GU TIL UGC DAU KHJ VIU KAKHAN - QCP,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH > TIGG COONG TY GU TIL UGC DAU KHJ VIU KAKHAN - QCP,TIGG COONG TY GU TIL UGC DAU KHJ VIU KAKHAN - QCP,70,,,70.0,,
Chu Qing Tan Kin KG ton trutung M.S.O.N.T.B.P.P.R.A.C.G.L.TG,1. LUN CHUYEN TREN TY HOAT BONG TAI CHINH > Chu Qing Tan Kin KG ton trutung M.S.O.N.T.B.P.P.R.A.C.G.L.TG,Chu Qing Tan Kin KG ton trutung M.S.O.N.T.B.P.P.R.A.C.G.L.TG,70,,,70.0,,
