row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Lợi nhuận kế toán trước thuếĐiều chính cho thu nhập chịu thuế,Lợi nhuận kế toán trước thuếĐiều chính cho thu nhập chịu thuế,Lợi nhuận kế toán trước thuếĐiều chính cho thu nhập chịu thuế,2.424.974.940.196,2.215.366.421.995,2424974940196.0,2215366421995.0
Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,(449.861.844.000),(14.265.866.248),-449861844000.0,-14265866248.0
Cộng: Các khoản chỉ phí không được khấu trừ,Cộng: Các khoản chỉ phí không được khấu trừ,Cộng: Các khoản chỉ phí không được khấu trừ,659.872.236.989,1.922.636.360,659872236989.0,1922636360.0
Thu nhập chịu thuế năm nay,Thu nhập chịu thuế năm nay,Thu nhập chịu thuế năm nay,2.634.985.333.185,2.203.023.192.107,2634985333185.0,2203023192107.0
Thu nhập được miễn thuế thu nhập doanh nghiệp,Thu nhập được miễn thuế thu nhập doanh nghiệp,Thu nhập được miễn thuế thu nhập doanh nghiệp,1.149.047.862.850,-,1149047862850.0,
Thu nhập được giảm 50% thuế thu nhập doanh nghiệp,Thu nhập được giảm 50% thuế thu nhập doanh nghiệp,Thu nhập được giảm 50% thuế thu nhập doanh nghiệp,-,1.811.292.270.544,,1811292270544.0
Thu nhập chịu thuế suốt thông thường,Thu nhập chịu thuế suốt thông thường,Thu nhập chịu thuế suốt thông thường,1.485.937.470.335,391.730.921.563,1485937470335.0,391730921563.0
Chỉ phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,Chỉ phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,Chỉ phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,297.187.494.067,259.475.411.367,297187494067.0,259475411367.0
,,,Năm nay,Năm trước,,
,,,VND,VND,,
Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ,Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ,Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ,131.728.147.436,-,131728147436.0,
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,131.728.147.436,-,131728147436.0,
