row_label_raw,row_label_full,Chỉ phí nhiên liệu khí bao tiêu của Nhà máy Điện Nhơn Trạch 1,76.227.084.579,col_2,numeric__76.227.084.579,numeric__col_2
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,36.134.450.112,38.364.418.365,36134450112.0,38364418365.0
Chỉ phí sửa chữa tài sản khác,Chỉ phí sửa chữa tài sản khác,Chỉ phí sửa chữa tài sản khác,54.865.856.782,34.790.545.631,54865856782.0,34790545631.0
Chỉ phí trả trước dài hạn khác,Chỉ phí trả trước dài hạn khác,Chỉ phí trả trước dài hạn khác,2.378.424.964,23.034.598.455,2378424964.0,23034598455.0
Chỉ phí sửa chữa bảo dưỡng Hợp đồng O&M,Chỉ phí sửa chữa bảo dưỡng Hợp đồng O&M,Chỉ phí sửa chữa bảo dưỡng Hợp đồng O&M,-,13.173.284.964,,13173284964.0
,,,169.605.816.437,109.362.847.415,169605816437.0,109362847415.0
