row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm (Trình bày lại),NGUYÊN GIÁ > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),6.347.123.031.065,38.193.095.895.820,237.030.811.778,128.563.686.747,2.129.752.028.107,47.035.565.453.517,6347123031065.0,38193095895820.0,237030811778.0,128563686747.0,2129752028107.0,47035565453517.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,1.782.559.582,7.333.383.134,15.260.465.021,12.681.068.087,1.159.624.329,38.217.100.153,1782559582.0,7333383134.0,15260465021.0,12681068087.0,1159624329.0,38217100153.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,18.531.511.707,11.207.008.302,-,-,4.062.800.699,33.801.320.708,18531511707.0,11207008302.0,,,4062800699.0,33801320708.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(7.533.984.039),(430.630.236),-,(7.964.614.275),,,-7533984039.0,-430630236.0,,-7964614275.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.367.437.102.354,38.211.636.287.256,244.757.292.760,140.814.124.598,2.134.974.453.135,47.099.619.260.103,6367437102354.0,38211636287256.0,244757292760.0,140814124598.0,2134974453135.0,47099619260103.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm (Trình bày lại),GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),2.018.860.700.313,20.177.496.712.921,190.367.509.962,84.581.470.065,354.802.719.342,22.826.109.112.603,2018860700313.0,20177496712921.0,190367509962.0,84581470065.0,354802719342.0,22826109112603.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,280.617.877.960,1.220.401.597.685,9.409.501.246,13.343.641.387,89.499.805.782,1.613.272.424.060,280617877960.0,1220401597685.0,9409501246.0,13343641387.0,89499805782.0,1613272424060.0
Trích khấu hao đi vào xây dựng dở dang,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao đi vào xây dựng dở dang,Trích khấu hao đi vào xây dựng dở dang,-,-,-,39.287.292,-,39.287.292,,,,39287292.0,,39287292.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(7.533.984.039),(368.050.384),-,(7.902.034.423),,,-7533984039.0,-368050384.0,,-7902034423.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.299.478.578.273,21.397.898.310.606,192.243.027.169,97.596.348.360,444.302.525.124,24.431.518.789.532,2299478578273.0,21397898310606.0,192243027169.0,97596348360.0,444302525124.0,24431518789532.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.328.262.330.752,18.015.599.182.899,46.663.301.816,43.982.216.682,1.774.949.308.765,24.209.456.340.914,4328262330752.0,18015599182899.0,46663301816.0,43982216682.0,1774949308765.0,24209456340914.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,4.067.958.524.081,16.813.737.976.650,52.514.265.591,43.217.776.238,1.690.671.928.011,22.668.100.470.571,4067958524081.0,16813737976650.0,52514265591.0,43217776238.0,1690671928011.0,22668100470571.0
