row_label_raw,row_label_full,col_0,Phương tiệnvận tải,Thiết bịvăn phòng,Tài sảncó định khác,VNDTổng cộng,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncó định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,13.640.924.625,10.474.855.177,965.494.220,25.081.274.022,13640924625.0,10474855177.0,965494220.0,25081274022.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,61.000.000,-,61.000.000,,61000000.0,,61000000.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,60.000.000,-,60.000.000,,60000000.0,,60000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,13.640.924.625,10.595.855.177,965.494.220,25.202.274.022,13640924625.0,10595855177.0,965494220.0,25202274022.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,5.415.486.443,10.053.689.721,748.630.584,16.217.806.748,5415486443.0,10053689721.0,748630584.0,16217806748.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(10.811.680.497),(9.957.727.514),(921.009.375),(21.690.417.386),-10811680497.0,-9957727514.0,-921009375.0,-21690417386.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.140.776.883),(364.424.884),(38.460.855),(1.543.662.622),-1140776883.0,-364424884.0,-38460855.0,-1543662622.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(11.952.457.380),(10.322.152.398),(959.470.230),(23.234.080.008),-11952457380.0,-10322152398.0,-959470230.0,-23234080008.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.829.244.128,517.127.663,44.484.845,3.390.856.636,2829244128.0,517127663.0,44484845.0,3390856636.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.688.467.245,273.702.779,6.023.990,1.968.194.014,1688467245.0,273702779.0,6023990.0,1968194014.0
