row_label_raw,row_label_full,col_0,VNDNhà cửa và vật kiến trúc,numeric__VNDNhà cửa và vật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,71.141.390.300,71141390300.0
Chuyển từ hàng tồn kho,Nguyên giá: > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,22.578.932.778,22578932778.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,93.720.323.078,93720323078.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(8.171.511.984),-8171511984.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.368.186.692),-1368186692.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(9.539.698.676),-9539698676.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,62.969.878.316,62969878316.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,84.180.624.402,84180624402.0
