row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 33.055.488.088,Tăng > 8.884.241.746,Giảm > (2.446.691.577),VND Số cuối năm > 39.493.038.257,numeric__Số đầu năm > 33.055.488.088,numeric__Tăng > 8.884.241.746,numeric__Giảm > (2.446.691.577),numeric__VND Số cuối năm > 39.493.038.257
Thuế TNDN,Thuế TNDN,Thuế TNDN,161.761.696.699,-,(140.661.324.486),21.100.372.213,161761696699.0,,-140661324486.0,21100372213.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.765.661.037,5.018.954.088,(8.255.278.045),529.337.080,3765661037.0,5018954088.0,-8255278045.0,529337080.0
Khác,Khác,Khác,39.109.506.842,12.754.586.089,(876.132.116),50.987.960.815,39109506842.0,12754586089.0,-876132116.0,50987960815.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,237.692.352.666,26.657.781.923,(152.239.426.224),112.110.708.365,237692352666.0,26657781923.0,-152239426224.0,112110708365.0
