row_label_raw,row_label_full,STT,Tên công ty con,Tên viết tắt,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết (%),numeric__Tên công ty con,numeric__Tên viết tắt,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết (%)
1,1,1,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An,Hà An,Kinh doanh BĐS,Đang hoạt động,100,,,,,100.0
2,2,2,Công ty Cổ phần Vicco Sài Gòn,Vicco Saigon,Kinh doanh và môi giới BĐS,Đang hoạt động,"99,99",,,,,99.99
3,3,3,Công ty Cổ phần Hội An Invest,Hội An Invest,Kinh doanh BĐS,Đang hoạt động,100,,,,,100.0
4,4,4,Công ty TNHH Đầu tư Sài Gòn Riverside,Saigon Riverside,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
5,5,5,Công ty Cổ phần Đầu tư Dầu khí Thăng Long,Thăng Long Petrol,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
6,6,6,Công ty Cổ phần Đầu tư Phước Sơn,Phước Sơn,Kinh doanh BĐS,Đang hoạt động,100,,,,,100.0
7,7,7,Công ty Cổ phần Đầu tư Đất Viễn Đông,Vidoland,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
8,8,8,Công ty TNHH Đầu tư Bất động sản Hà An Land,Hà An Land,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
9,9,9,Công ty Cổ phần Đầu tư Bất động sản Tây Nam Bộ,BĐS Tây Nam Bộ,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
10,10,10,Công ty Cổ phần Đầu tư Dầu khí Nha Trang,Dầu khí Nha Trang,Kinh doanh và môi giới BĐS,Đang hoạt động,"99,87",,,,,99.87
11,11,11,Công ty TNHH Charm & CI Việt Nam,Charm & CI,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
12,12,12,Công ty Cổ phần Đầu tư Kinh doanh Bất Đông sản Đông Nam Bộ,BĐS Đông Nam Bộ,Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,,,,,100.0
13,13,13,Công ty Cổ phần Đầu tư Bất động sản Miền Đông,BĐS Miền Đông,Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,,,,,100.0
14,14,14,Công ty TNHH MTV Smart City,Smart City,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
15,15,15,Công ty Cổ phần Bất động sản Bắc Miền Tây,BĐS Bắc Miền Tây,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
16,16,16,Công ty Cổ phần Bất Đông Sản Bắc Bộ,BĐS Bắc Bộ,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
17,17,17,Công ty Cổ phần Đầu tư Bất động sản Miền Bắc,DXI,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
18,18,18,Công ty TNHH Đầu tư Xây dựng Ngọc Lễ,Ngọc Lễ,Kinh doanh và môi giới BĐS,Đang hoạt động,"82,29",,,,,82.29
19,19,19,Công ty TNHH Patheon Holdings,Patheon,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
20,20,20,Công ty TNHH Đầu tư DHG,DHG,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
21,21,21,Công ty Cổ phần Đầu tư Diamond Tower,Diamond,Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,,,,,100.0
22,22,22,Công ty Cổ phần Đầu tư Ruby Tower,Ruby,Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,,,,,100.0
