row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,11.074.160.837.482,13.548.110.980.534,,300.0,,11074160837482.0,13548110980534.0
I.,I.,I.,Nợ ngắn hạn,310,,8.795.316.895.809,10.172.487.058.625,,310.0,,8795316895809.0,10172487058625.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,1.460.648.121.422,1.991.718.876.199,,311.0,15.0,1460648121422.0,1991718876199.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,45.895.331.145,35.502.846.529,,312.0,,45895331145.0,35502846529.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,836.630.353.514,696.856.761.624,,313.0,16.0,836630353514.0,696856761624.0
4.,4.,4.,Phải trả người lao động,314,,75.422.736.702,114.801.326.505,,314.0,,75422736702.0,114801326505.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,17,4.023.549.815.893,5.425.003.519.385,,315.0,17.0,4023549815893.0,5425003519385.0
6.,6.,6.,Phải trả ngắn hạn khác,319,18,958.597.203.828,597.383.795.781,,319.0,18.0,958597203828.0,597383795781.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,20,970.620.000.000,972.510.000.000,,320.0,20.0,970620000000.0,972510000000.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,,423.953.333.305,338.709.932.602,,322.0,,423953333305.0,338709932602.0
II.,II.,II.,Nợ dài hạn,330,,2.278.843.941.673,3.375.623.921.909,,330.0,,2278843941673.0,3375623921909.0
1.,1.,1.,Phải trả dài hạn khác,337,18,5.636.039.644,4.952.785.411,,337.0,18.0,5636039644.0,4952785411.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,20,1.455.930.000.000,3.331.275.000.000,,338.0,20.0,1455930000000.0,3331275000000.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,21,801.446.803.000,18.765.601.404,,342.0,21.0,801446803000.0,18765601404.0
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,,15.831.099.029,20.630.535.094,,343.0,,15831099029.0,20630535094.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,48.632.877.045.310,45.197.597.669.579,,400.0,,48632877045310.0,45197597669579.0
I.,I.,I.,Vốn chủ sở hữu,410,22,48.632.877.045.310,45.197.597.669.579,,410.0,22.0,48632877045310.0,45197597669579.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,19.139.500.000.000,19.139.500.000.000,,411.0,,19139500000000.0,19139500000000.0
,,,- Cổ phiếu phố thông có quyền biểu quyết,411a,,19.139.500.000.000,19.139.500.000.000,,,,19139500000000.0,19139500000000.0
2.,2.,2.,Thắng dư vốn cổ phần,412,,210.679.541.297,210.679.541.297,,412.0,,210679541297.0,210679541297.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,18.597.253.148.710,14.539.253.148.710,,418.0,,18597253148710.0,14539253148710.0
4.,4.,4.,Lợi nhuận sau thuê chưa phân phối,421,,10.685.444.355.303,11.308.164.979.572,,421.0,,10685444355303.0,11308164979572.0
,,,- Lợi nhuận sau thuê chưa phân phối lũy kế đến cuối năm trước,421a,,795.116.204.750,3.871.761.945.813,,,,795116204750.0,3871761945813.0
,,,- Lợi nhuận sau thuê chưa phân phối năm nay,421b,,9.890.328.150.553,7.436.403.033.759,,,,9890328150553.0,7436403033759.0
,,,TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,59.707.037.882.792,58.745.708.650.113,,440.0,,59707037882792.0,58745708650113.0
Đặng Thị Hồng Yến Người lập biểu,Đặng Thị Hồng Yến Người lập biểu,Đặng Thị Hồng Yến Người lập biểu,Đặng Thị Hồng Yến Người lập biểu,Nguyễn Công Luận Kế toán trưởng,Nguyễn Công Luận Kế toán trưởng,Dương Mạnh Sơn Tổng Giám đốc,Dương Mạnh Sơn Tổng Giám đốc,,,,,
