row_label_raw,row_label_full,col_0,Nhà cửavà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải và thiết bịtruyền dẫn,Thiết bịvăn phòng,Khác,Tổng cộng,numeric__Nhà cửavà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải và thiết bịtruyền dẫn,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.560.054.579.990,4.819.821.892.047,218.013.585.901,305.531.517.999,31.368.758.682.663,43.272.180.258.600,6560054579990.0,4819821892047.0,218013585901.0,305531517999.0,31368758682663.0,43272180258600.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,976.147.635,34.296.949.897,2.768.968.709,42.749.724.432,3.916.050.622,84.707.841.295,976147635.0,34296949897.0,2768968709.0,42749724432.0,3916050622.0,84707841295.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,6.885.814.197,40.622.145.382,5.452.986.427,-,169.594.184.573,222.555.130.579,6885814197.0,40622145382.0,5452986427.0,,169594184573.0,222555130579.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(940.913.911),(1.244.726.808),-,(16.485.645.686),(269.472.727),(18.940.759.132),-940913911.0,-1244726808.0,,-16485645686.0,-269472727.0,-18940759132.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,-,(103.075.000),-,(103.075.000),,,,-103075000.0,,-103075000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.566.975.627.911,4.893.496.260.518,226.235.541.037,331.692.521.745,31.541.999.445.131,43.560.399.396.342,6566975627911.0,4893496260518.0,226235541037.0,331692521745.0,31541999445131.0,43560399396342.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.216.071.316.784,911.493.485.558,127.105.124.196,238.834.339.305,23.571.640.599.211,28.065.144.865.054,3216071316784.0,911493485558.0,127105124196.0,238834339305.0,23571640599211.0,28065144865054.0
Trích khấu hao,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao,Trích khấu hao,476.661.356.696,374.867.059.206,10.947.391.092,28.046.151.135,1.395.995.364.119,2.286.517.322.248,476661356696.0,374867059206.0,10947391092.0,28046151135.0,1395995364119.0,2286517322248.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(900.999.028),(1.236.358.452),-,(16.485.645.686),(269.472.727),(18.892.475.893),-900999028.0,-1236358452.0,,-16485645686.0,-269472727.0,-18892475893.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,-,-,(22.831.671),-,(22.831.671),,,,-22831671.0,,-22831671.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.691.831.674.452,1.285.124.186.312,138.052.515.288,250.372.013.083,24.967.366.490.603,30.332.746.879.738,3691831674452.0,1285124186312.0,138052515288.0,250372013083.0,24967366490603.0,30332746879738.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.343.983.263.206,3.908.328.406.489,90.908.461.705,66.697.178.694,7.797.118.083.452,15.207.035.393.546,3343983263206.0,3908328406489.0,90908461705.0,66697178694.0,7797118083452.0,15207035393546.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.875.143.953.459,3.608.372.074.206,88.183.025.749,81.320.508.662,6.574.632.954.528,13.227.652.516.604,2875143953459.0,3608372074206.0,88183025749.0,81320508662.0,6574632954528.0,13227652516604.0
