row_label_raw,row_label_full,III.,CHỈ TIÊU LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,CHỈ TIÊU LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_1,CHỈ TIÊU LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_2,CHỈ TIÊU LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_3,numeric__CHỈ TIÊU LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,numeric__CHỈ TIÊU LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_1,numeric__CHỈ TIÊU LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_2,numeric__CHỈ TIÊU LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_3
III.,III.,III.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,-,60.952.471.943,,31.0,,60952471943.0
III.,III.,III.,Tiền trả nợ gốc vay,34,(1.872.300.000.000),(3.958.883.231.013),,34.0,-1872300000000.0,-3958883231013.0
III.,III.,III.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(8.229.985.000.000),(7.655.800.000.000),,36.0,-8229985000000.0,-7655800000000.0
III.,III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(10.102.285.000.000),(11.553.730.759.070),,40.0,-10102285000000.0,-11553730759070.0
III.,III.,III.,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(2.169.668.946.861),(6.578.432.166.797),,50.0,-2169668946861.0,-6578432166797.0
III.,III.,III.,Tiền và tương đương tiền đầu năm,60,4.698.943.043.879,11.276.168.329.713,,60.0,4698943043879.0,11276168329713.0
III.,III.,III.,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(424.987.094),1.206.880.963,,61.0,-424987094.0,1206880963.0
III.,III.,III.,Tiền và tương đương tiền cuối năm (70=50+60+61),70,2.528.849.109.924,4.698.943.043.879,,70.0,2528849109924.0,4698943043879.0
Đặng Thị Hồng Yến Người lập biểu,Đặng Thị Hồng Yến Người lập biểu,Đặng Thị Hồng Yến Người lập biểu,Đặng Thị Hồng Yến Người lập biểu,Nguyễn Công Luận Kế toán trường,Dương Mạnh Sơn Tổng Giám đốc,Dương Mạnh Sơn Tổng Giám đốc,,,,
