row_label_raw,row_label_full,Ông Nguyễn Sinh Khang,Chủ tịch,numeric__Chủ tịch
Ông Dương Mạnh Sơn,Ông Dương Mạnh Sơn,Ông Dương Mạnh Sơn,Thành viên,
Ông Phan Quốc Nghĩa,Ông Phan Quốc Nghĩa,Ông Phan Quốc Nghĩa,Thành viên,
Bà Võ Thị Thanh Ngọc,Bà Võ Thị Thanh Ngọc,Bà Võ Thị Thanh Ngọc,Thành viên,
Ông Đỗ Đông Nguyên,Ông Đỗ Đông Nguyên,Ông Đỗ Đông Nguyên,Thành viên,
Ông Trương Hồng Sơn,Ông Trương Hồng Sơn,Ông Trương Hồng Sơn,Thành viên (bố nhiệm ngày 09 tháng 4 năm 2019),
Ông Nguyễn Anh Tuân,Ông Nguyễn Anh Tuân,Ông Nguyễn Anh Tuân,Thành viên (miễn nhiệm ngày 09 tháng 4 năm 2019),
