row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,179.009.464.640,53.702.839.392,66.116.174.924,19.834.852.477,179009464640.0,53702839392.0,66116174924.0,19834852477.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,13.448.202.214,4.034.460.664,13.883.863.752,4.160.539.126,13448202214.0,4034460664.0,13883863752.0,4160539126.0
Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,-,-,7.061.641.125,2.118.492.337,,,7061641125.0,2118492337.0
Công ty Cổ phần Sản xuất - Dịch vụ - Thượng mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thượng mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thượng mại - Xây dựng Thành Tài,-,-,73.272.262.529,21.981.678.759,,,73272262529.0,21981678759.0
c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,131.600.946.583,65.800.473.291,192.357.488.360,96.178.744.180,131600946583.0,65800473291.0,192357488360.0,96178744180.0
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,116.721.121.430,58.360.560.715,178.307.166.204,89.153.583.102,116721121430.0,58360560715.0,178307166204.0,89153583102.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,14.879.825.153,7.439.912.576,14.050.322.156,7.025.161.078,14879825153.0,7439912576.0,14050322156.0,7025161078.0
d) Quá hạn từ 6 tháng đến dưới 1 năm,d) Quá hạn từ 6 tháng đến dưới 1 năm,d) Quá hạn từ 6 tháng đến dưới 1 năm,17.876.717.980,12.513.702.586,23.151.189.005,16.207.812.303,17876717980.0,12513702586.0,23151189005.0,16207812303.0
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,10.376.297.939,7.263.408.557,16.010.021.153,11.207.014.807,10376297939.0,7263408557.0,16010021153.0,11207014807.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,7.500.420.041,5.250.294.029,7.141.167.852,5.000.797.496,7500420041.0,5250294029.0,7141167852.0,5000797496.0
,,,612.368.775.787,136.051.475.933,488.822.127.757,160.482.119.182,612368775787.0,136051475933.0,488822127757.0,160482119182.0
