row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
Abu Dhabi National Oil Company,Abu Dhabi National Oil Company,Abu Dhabi National Oil Company,432.776.348.000,432.776.348.000,453.970.562.375,453.970.562.375,432776348000.0,432776348000.0,453970562375.0,453970562375.0
Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,200.952.930.031,200.952.930.031,172.169.591.633,172.169.591.633,200952930031.0,200952930031.0,172169591633.0,172169591633.0
Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,184.117.736.588,184.117.736.588,92.293.519.979,92.293.519.979,184117736588.0,184117736588.0,92293519979.0,92293519979.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,175.912.959.380,175.912.959.380,108.093.930.612,108.093.930.612,175912959380.0,175912959380.0,108093930612.0,108093930612.0
Petredec International Pte. Ltd.,Petredec International Pte. Ltd.,Petredec International Pte. Ltd.,92.520.346.999,92.520.346.999,183.416.461.318,183.416.461.318,92520346999.0,92520346999.0,183416461318.0,183416461318.0
Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,53.216.420.850,53.216.420.850,135.460.121.321,135.460.121.321,53216420850.0,53216420850.0,135460121321.0,135460121321.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,51.052.676.344,51.052.676.344,49.677.809.574,49.677.809.574,51052676344.0,51052676344.0,49677809574.0,49677809574.0
Công ty bảo hiểm PVI phía Nam,Công ty bảo hiểm PVI phía Nam,Công ty bảo hiểm PVI phía Nam,39.868.601.167,39.868.601.167,-,-,39868601167.0,39868601167.0,,
Trafigura Pte Ltd.,Trafigura Pte Ltd.,Trafigura Pte Ltd.,-,-,464.518.162.476,464.518.162.476,,,464518162476.0,464518162476.0
"POSCO Engineering & Construction Co., Ltd.","POSCO Engineering & Construction Co., Ltd.","POSCO Engineering & Construction Co., Ltd.",-,-,63.142.647.176,63.142.647.176,,,63142647176.0,63142647176.0
"Petco Trading Labuan Co., Ltd.","Petco Trading Labuan Co., Ltd.","Petco Trading Labuan Co., Ltd.",-,-,55.456.625.582,55.456.625.582,,,55456625582.0,55456625582.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,230.230.102.063,230.230.102.063,213.519.444.153,213.519.444.153,230230102063.0,230230102063.0,213519444153.0,213519444153.0
,,,1.460.648.121.422,1.460.648.121.422,1.991.718.876.199,1.991.718.876.199,1460648121422.0,1460648121422.0,1991718876199.0,1991718876199.0
Phải trả người bán ngắn hạn là các bên liên quan (Chi tiết tại Thuyết minh số 34),Phải trả người bán ngắn hạn là các bên liên quan (Chi tiết tại Thuyết minh số 34),Phải trả người bán ngắn hạn là các bên liên quan (Chi tiết tại Thuyết minh số 34),729.361.111.410,729.361.111.410,603.995.638.873,603.995.638.873,729361111410.0,729361111410.0,603995638873.0,603995638873.0
