row_label_raw,row_label_full,Số dư đầu năm trước,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 189.746.727.266,Cổ phiếu quỹ VND > (40.111.223.937),Quỹ đầu tư phát triển VND > 14.539.253.148.710,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước VND > 2.093.128.052.948,Lợi nhuận sau thuế chưa phân phối năm nay VND > 5.738.269.392.865,Tổng VND > 41.659.786.097.852,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 189.746.727.266,numeric__Cổ phiếu quỹ VND > (40.111.223.937),numeric__Quỹ đầu tư phát triển VND > 14.539.253.148.710,numeric__Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước VND > 2.093.128.052.948,numeric__Lợi nhuận sau thuế chưa phân phối năm nay VND > 5.738.269.392.865,numeric__Tổng VND > 41.659.786.097.852
Kết chuyển số dư,Kết chuyển số dư,Kết chuyển số dư,-,-,-,-,5.738.269.392.865,(5.738.269.392.865),-,,,,,5738269392865.0,-5738269392865.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,11.381.803.033.759,11.381.803.033.759,,,,,,11381803033759.0,11381803033759.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(129.500.000.000),(117.500.000.000),(247.000.000.000),,,,,-129500000000.0,-117500000000.0,-247000000000.0
Trích quỹ thưởng Ban quản lý điều hành,Trích quỹ thưởng Ban quản lý điều hành,Trích quỹ thưởng Ban quản lý điều hành,-,-,-,-,(2.235.500.000),-,(2.235.500.000),,,,,-2235500000.0,,-2235500000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(3.827.900.000.000),(3.827.900.000.000),(7.655.800.000.000),,,,,-3827900000000.0,-3827900000000.0,-7655800000000.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,20.932.814.031,40.111.223.937,-,-,-,61.044.037.968,,20932814031.0,40111223937.0,,,,61044037968.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,19.139.500.000.000,210.679.541.297,-,14.539.253.148.710,3.871.761.945.813,7.436.403.033.759,45.197.597.669.579,19139500000000.0,210679541297.0,,14539253148710.0,3871761945813.0,7436403033759.0,45197597669579.0
Kết chuyển số dư,Kết chuyển số dư,Kết chuyển số dư,-,-,-,-,7.436.403.033.759,(7.436.403.033.759),-,,,,,7436403033759.0,-7436403033759.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,11.920.871.502.129,11.920.871.502.129,,,,,,11920871502129.0,11920871502129.0
Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),-,-,-,4.058.000.000.000,(4.058.000.000.000),-,-,,,,4058000000000.0,-4058000000000.0,,
"Trích quỹ khen thưởng, phúc lợi (ii)","Trích quỹ khen thưởng, phúc lợi (ii)","Trích quỹ khen thưởng, phúc lợi (ii)",-,-,-,-,(136.724.500.000),(127.112.250.000),(263.836.750.000),,,,,-136724500000.0,-127112250000.0,-263836750000.0
Trích quỹ thưởng Ban quản lý điều hành (ii),Trích quỹ thưởng Ban quản lý điều hành (ii),Trích quỹ thưởng Ban quản lý điều hành (ii),-,-,-,-,(2.225.250.000),-,(2.225.250.000),,,,,-2225250000.0,,-2225250000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(6.316.035.000.000),(1.913.950.000.000),(8.229.985.000.000),,,,,-6316035000000.0,-1913950000000.0,-8229985000000.0
Tăng/(Giảm) khác,Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,-,-,-,(64.024.822),10.518.898.424,10.454.873.602,,,,,-64024822.0,10518898424.0,10454873602.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,19.139.500.000.000,210.679.541.297,-,18.597.253.148.710,795.116.204.750,9.890.328.150.553,48.632.877.045.310,19139500000000.0,210679541297.0,,18597253148710.0,795116204750.0,9890328150553.0,48632877045310.0
