row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn- Tiền gửi có kỳ hạn (i) > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,Đầu tư nằm giữ đến ngày đáo hạn- Tiền gửi có kỳ hạn (i) > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04._1,Đầu tư nằm giữ đến ngày đáo hạn- Tiền gửi có kỳ hạn (i) > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04._2,Số cuối năm > Giá gốcVND > 24.780.000.000.000 > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,Số cuối năm > Giá trị ghi sốVND > 24.780.000.000.000 > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,Số đầu năm > Giá gốcVND > 21.350.000.000.000 > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,Số đầu năm > Giá trị ghi sốVND > 21.350.000.000.000 > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,numeric__Đầu tư nằm giữ đến ngày đáo hạn- Tiền gửi có kỳ hạn (i) > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04._1,numeric__Đầu tư nằm giữ đến ngày đáo hạn- Tiền gửi có kỳ hạn (i) > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04._2,numeric__Số cuối năm > Giá gốcVND > 24.780.000.000.000 > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,numeric__Số cuối năm > Giá trị ghi sốVND > 24.780.000.000.000 > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,numeric__Số đầu năm > Giá gốcVND > 21.350.000.000.000 > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.,numeric__Số đầu năm > Giá trị ghi sốVND > 21.350.000.000.000 > (i) Phân ánh các khoản tiền gửi tại các ngân hàng thương mại trong nước có kỳ hạn còn lại không quá 12 tháng kể từ ngày kết thúc năm tài chính và không bao gồm các khoản tương đương tiền được trình bày tại thuyết minh số 04.
b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,b. Đầu tư tài chính dài hạn:,,,,,,
,,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,Giá gốcVND,Dự phòngVND,,,,,,
Đầu tư vào công ty con,b. Đầu tư tài chính dài hạn: > Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,3.562.870.071.633,(644.777.874.926),4.395.725.863.074,3.701.528.571.633,(694.407.735.752),,3562870071633.0,-644777874926.0,4395725863074.0,3701528571633.0,-694407735752.0
Công ty Cổ phần Sản xuất (ii),b. Đầu tư tài chính dài hạn: > Công ty Cổ phần Sản xuất (ii),Công ty Cổ phần Sản xuất (ii),Công ty Cổ phần Sản xuất (ii),1.858.375.690.000,(632.266.305.650),1.226.109.384.350,1.858.375.690.000,(683.218.308.702),,1858375690000.0,-632266305650.0,1226109384350.0,1858375690000.0,-683218308702.0
Ống thép Dầu khí Việt Nam,Ống thép Dầu khí Việt Nam,Ống thép Dầu khí Việt Nam,Ống thép Dầu khí Việt Nam,,,,,,,,,,,
Công ty Cổ phần Phân phối,Ống thép Dầu khí Việt Nam > Công ty Cổ phần Phân phối,Công ty Cổ phần Phân phối,Công ty Cổ phần Phân phối,837.605.785.000,-,2.395.215.000.000,837.605.785.000,-,,837605785000.0,,2395215000000.0,837605785000.0,
Khí thấp áp Dầu khí Việt Nam,Khí thấp áp Dầu khí Việt Nam,Khí thấp áp Dầu khí Việt Nam,Khí thấp áp Dầu khí Việt Nam,,,,,,,,,,,
Công ty Cổ phần CNG Việt Nam,Khí thấp áp Dầu khí Việt Nam > Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,481.819.822.512,-,378.000.000.000,481.819.822.512,-,,481819822512.0,,378000000000.0,481819822512.0,
Công ty Cổ phần Kinh doanh (iii),Khí thấp áp Dầu khí Việt Nam > Công ty Cổ phần Kinh doanh (iii),Công ty Cổ phần Kinh doanh (iii),Công ty Cổ phần Kinh doanh (iii),206.166.408.900,-,149.814.248.000,118.364.908.900,-,,206166408900.0,,149814248000.0,118364908900.0,
Khí Miền Bắc,Khí Miền Bắc,Khí Miền Bắc,Khí Miền Bắc,,,,,,,,,,,
Công ty Cổ phần Bọc ống Dầu,Khí Miền Bắc > Công ty Cổ phần Bọc ống Dầu,Công ty Cổ phần Bọc ống Dầu,Công ty Cổ phần Bọc ống Dầu,127.902.365.221,-,208.098.800.000,127.902.365.221,-,,127902365221.0,,208098800000.0,127902365221.0,
khí Việt Nam,khí Việt Nam,khí Việt Nam,khí Việt Nam,,,,,,,,,,,
Công ty Cổ phần LNG VIETNAM (ii),khí Việt Nam > Công ty Cổ phần LNG VIETNAM (ii),Công ty Cổ phần LNG VIETNAM (ii),Công ty Cổ phần LNG VIETNAM (ii),51.000.000.000,(12.511.569.276),38.488.430.724,51.000.000.000,(11.189.427.050),,51000000000.0,-12511569276.0,38488430724.0,51000000000.0,-11189427050.0
Công ty Cổ phần Kinh doanh (iv),khí Việt Nam > Công ty Cổ phần Kinh doanh (iv),Công ty Cổ phần Kinh doanh (iv),Công ty Cổ phần Kinh doanh (iv),-,-,-,226.460.000.000,-,,,,,226460000000.0,
Khí Miền Nam,Khí Miền Nam,Khí Miền Nam,Khí Miền Nam,,,,,,,,,,,
