row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ sở hữu,Tỷ lệ quyền biểu quyết nằm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ sở hữu,numeric__Tỷ lệ quyền biểu quyết nằm giữ,numeric__Hoạt động chính
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
Công ty Cổ phần Kinh doanh Khí Miền Bắc,Công ty con > Công ty Cổ phần Kinh doanh Khí Miền Bắc,Công ty Cổ phần Kinh doanh Khí Miền Bắc,Hà Nội,"51,31%","51,31%",Phân phối khí hóa lỏng,,0.5131,0.5131,
Công ty Cổ phần Phán phối Khí thấp áp Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Phán phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phán phối Khí thấp áp Dầu khí Việt Nam,TP. Hồ Chí Minh,"50,50%","50,50%",Phân phối khí thấp áp,,0.505,0.505,
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Vũng Tàu,"52,94%","52,94%",Kinh doanh dịch vụ bọc ống,,0.5294,0.5294,
Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất ống thép Dầu khí Việt Nam,Tiền Giang,"99,99%","99,99%",Sản xuất ống thép,,0.9998999999999999,0.9998999999999999,
Công ty Cổ phần CNG Việt Nam,Công ty con > Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,TP. Hồ Chí Minh,"56,00%","56,00%",Sản xuất khí thiên nhiên,,0.56,0.56,
Công ty Cổ phần LNG VIETNAM,Công ty con > Công ty Cổ phần LNG VIETNAM,Công ty Cổ phần LNG VIETNAM,TP. Hồ Chí Minh,"51,00%","51,00%",Sản xuất khí thiên nhiên,,0.51,0.51,
"Công ty liên doanh, công ty liên kết","Công ty liên doanh, công ty liên kết","Công ty liên doanh, công ty liên kết","Công ty liên doanh, công ty liên kết","Công ty liên doanh, công ty liên kết","Công ty liên doanh, công ty liên kết","Công ty liên doanh, công ty liên kết",,,,
Công ty Cổ phần Kinh doanh Khí Miền Nam,"Công ty liên doanh, công ty liên kết > Công ty Cổ phần Kinh doanh Khí Miền Nam",Công ty Cổ phần Kinh doanh Khí Miền Nam,TP. Hồ Chí Minh,"35,26%","35,26%",Phân phối khí hóa lỏng,,0.35259999999999997,0.35259999999999997,
Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,"Công ty liên doanh, công ty liên kết > Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom",Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,TP. Hồ Chí Minh,"29,00%","29,00%",Kinh doanh khí,,0.29,0.29,
