row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntải, truyền dẫn",TSCĐ dùngtrong quản lý,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntải, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.446.922.612,3.438.193.213,20.171.744.899,501.170.889,28.558.031.613,4446922612.0,3438193213.0,20171744899.0,501170889.0,28558031613.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(78.703.704),-,-,-,(78.703.704),-78703704.0,,,,-78703704.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.368.218.908,3.438.193.213,20.171.744.899,501.170.889,28.479.327.909,4368218908.0,3438193213.0,20171744899.0,501170889.0,28479327909.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,304.038.023,1.731.031.754,2.168.063.539,477.179.103,4.680.312.419,304038023.0,1731031754.0,2168063539.0,477179103.0,4680312419.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,388.495.456,266.051.136,2.446.679.940,11.651.364,3.112.877.896,388495456.0,266051136.0,2446679940.0,11651364.0,3112877896.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(31.904.622),-,-,-,(31.904.622),-31904622.0,,,,-31904622.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,660.628.857,1.997.082.890,4.614.743.479,488.830.467,7.761.285.693,660628857.0,1997082890.0,4614743479.0,488830467.0,7761285693.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,4.142.884.589,1.707.161.459,18.003.681.360,23.991.786,23.877.719.194,4142884589.0,1707161459.0,18003681360.0,23991786.0,23877719194.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.707.590.051,1.441.110.323,15.557.001.420,12.340.422,20.718.042.216,3707590051.0,1441110323.0,15557001420.0,12340422.0,20718042216.0
