row_label_raw,row_label_full,col_0,31/12/2025,31/12/2025_1,01/01/2025,01/01/2025_1,numeric__31/12/2025,numeric__31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1
,,,Value,Provision,Value,Provision,,,,
,,,VND,VND,VND,VND,,,,
a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,,,,
- Loan interest and deposit interest,- Loan interest and deposit interest,- Loan interest and deposit interest,"7,320,670,305",-,"9,524,371,111",-,,,,
- Upfront letter of credit (L/C) issuance fees,- Upfront letter of credit (L/C) issuance fees,- Upfront letter of credit (L/C) issuance fees,"879,102,696",-,-,-,,,,
- Mortgages,- Mortgages,- Mortgages,-,-,"3,000,000",-,,,,
- Other receivables,- Other receivables,- Other receivables,"8,688,069",-,"9,291,319",-,,,,
,,,"8,208,461,070",-,"9,536,662,430",-,,,,
b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,,,,
- Mortgages,- Mortgages,- Mortgages,-,-,"120,000,000",-,,,,
,,,-,-,"120,000,000",-,,,,
