row_label_raw,row_label_full,Name of financial investments > Name of subsidiaries,Place of establishment and operation > Name of subsidiaries,Rate of interest > Name of subsidiaries,Rate of voting rights > Name of subsidiaries,Principal activities > Name of subsidiaries,numeric__Place of establishment and operation > Name of subsidiaries,numeric__Rate of interest > Name of subsidiaries,numeric__Rate of voting rights > Name of subsidiaries,numeric__Principal activities > Name of subsidiaries
- Hoang Giang Service Development Joint Stock Company,- Hoang Giang Service Development Joint Stock Company,- Hoang Giang Service Development Joint Stock Company,"Km9, National Highway 5, An Duong Ward, Hai Phong City",99.79%,99.79%,"Automobile and motor vehicle trading, real estate business",,99.79,99.79,
- Pruksa Vietnam Company Limited,- Pruksa Vietnam Company Limited,- Pruksa Vietnam Company Limited,"Room A, 8th Floor, 116 Nguyen Duc Canh Building, Le Chan Ward, Hai Phong City",90.17%,90.17%,Social housing construction,,90.17,90.17,
- HHS Capital Joint Stock Company,- HHS Capital Joint Stock Company,- HHS Capital Joint Stock Company,"No. 116 Nguyen Duc Canh Street, Le Chan Ward, Hai Phong City",99.996%,99.996%,Real estate investment and business through shareholding of real estate development companies,,999.96,999.96,
- CRV Real Estate Group Joint Stock Company (CRV),- CRV Real Estate Group Joint Stock Company (CRV),- CRV Real Estate Group Joint Stock Company (CRV),"4th Floor, No. 183, Ba Trieu Street, Hai Ba Trung Ward, Hanoi City",51.01%,58.56%,Construction and real estate business,,51.01,58.56,
