row_label_raw,row_label_full,col_0,Contributed capital,Equity surplus,and investment funds,Retained earnings,Total,numeric__Contributed capital,numeric__Equity surplus,numeric__and investment funds,numeric__Retained earnings,numeric__Total
,,,VND,VND,VND,VND,VND,,,,,
Beginning balance of the previous year,Beginning balance of the previous year,Beginning balance of the previous year,"3,471,607,130,000","1,976,351,645","19,572,915,034","481,945,931,156","3,975,102,327,835",,,,,
Profit for previous year,Profit for previous year,Profit for previous year,-,-,-,"118,468,256,133","118,468,256,133",,,,,
Share dividend,Share dividend,Share dividend,"208,252,550,000",-,-,"(208,252,550,000)",-,,,,,
Ending balance of previous year,Ending balance of previous year,Ending balance of previous year,"3,679,859,680,000","1,976,351,645","19,572,915,034","392,161,637,289","4,093,570,583,968",,,,,
Beginning balance of the current year,Beginning balance of the current year,Beginning balance of the current year,"3,679,859,680,000","1,976,351,645","19,572,915,034","392,161,637,289","4,093,570,583,968",,,,,
Increase in capital in current year,Increase in capital in current year,Increase in capital in current year,"640,000,000,000","159,946,000,000",-,-,"799,946,000,000",,,,,
Profit for current year,Profit for current year,Profit for current year,-,-,-,"430,000,840,478","430,000,840,478",,,,,
Ending balance of the current year,Ending balance of the current year,Ending balance of the current year,"4,319,859,680,000","161,922,351,645","19,572,915,034","822,162,477,767","5,323,517,424,446",,,,,
