row_label_raw,row_label_full,col_0,Southern,Northern,Central region,Grand Total,numeric__Southern,numeric__Northern,numeric__Central region,numeric__Grand Total
,,,VND,VND,VND,VND,,,,
Net revenue from sales,Net revenue from sales,Net revenue from sales,"382,302,512,998","278,620,419,105","38,679,878,757","699,602,810,860",,,,
Cost of goods sold,Cost of goods sold,Cost of goods sold,"321,741,265,602","237,481,109,660","32,441,634,006","591,664,009,268",,,,
Gross profit from sales of goods and rendering of services,Gross profit from sales of goods and rendering of services,Gross profit from sales of goods and rendering of services,"60,561,247,396","41,139,309,445","6,238,244,751","107,938,801,592",,,,
