row_label_raw,row_label_full,col_0,Ending the year,Rate,Beginning the,Rate_1,numeric__Ending the year,numeric__Rate,numeric__Beginning the,numeric__Rate_1
,,,VND,%,VND,%,,,,
Hoang Huy Investment Financial Services Joint Stock Company,Hoang Huy Investment Financial Services Joint Stock Company,Hoang Huy Investment Financial Services Joint Stock Company,"2,519,057,770,000",58.31,"1,879,057,770,000",51.06,,5831.0,,5106.0
Others,Others,Others,"1,800,801,910,000",41.69,"1,800,801,910,000",48.94,,4169.0,,4894.0
,,,"4,319,859,680,000",100.0,"3,679,859,680,000",100.0,,1000.0,,1000.0
