row_label_raw,row_label_full,Mr. Do Huu Ha,Chairman of the Board of Directors,numeric__Chairman of the Board of Directors
Mr. Do Huu Hau,Mr. Do Huu Hau,Mr. Do Huu Hau,Member,
Mrs. Nguyen Thi Ha,Mrs. Nguyen Thi Ha,Mrs. Nguyen Thi Ha,Member,
Mr. Nguyen The Hung,Mr. Nguyen The Hung,Mr. Nguyen The Hung,Member,
Mrs. Nguyen Thi Kim Phung,Mrs. Nguyen Thi Kim Phung,Mrs. Nguyen Thi Kim Phung,Independent Member,
