row_label_raw,row_label_full,Code,CAPITAL,Note,31/12/2025VND,01/01/2025VND,numeric__CAPITAL,numeric__Note,numeric__31/12/2025VND,numeric__01/01/2025VND
300,300,300,C. LIABILITIES,,"448,246,643,230","580,431,800,457",,,,
310,310,310,I. Current Liabilities,,"448,246,643,230","580,431,800,457",,,,
311,310 > 311,311,1. Short-term trade payables,12,"365,477,259,784","496,512,636,924",,12.0,,
312,310 > 312,312,2. Short-term prepayments from customers,13,"6,213,368,624","8,047,961,488",,13.0,,
313,310 > 313,313,3. Taxes and other payables to State budget,14,"1,871,706,879","6,201,330,726",,14.0,,
314,314,314,4. Payables to employees,,"658,430,890","13,637,155",,,,
315,314 > 315,315,5. Short-term accrued expenses,15,"7,464,353,635","5,271,945,134",,15.0,,
319,314 > 319,319,6. Other short-term payables,16,"59,784,220,110","57,777,389,650",,16.0,,
321,314 > 321,321,7. Provisions for short-term payables,17,"319,000,026","148,596,098",,17.0,,
322,322,322,8. Bonus and welfare fund,,"6,458,303,282","6,458,303,282",,,,
400,400,400,D. OWNER'S EQUITY,,"5,323,517,424,446","4,093,570,583,968",,,,
410,400 > 410,410,I. Owner's equity,18,"5,323,517,424,446","4,093,570,583,968",,18.0,,
411,411,411,1. Contributed capital,,"4,319,859,680,000","3,679,859,680,000",,,,
411a,411a,411a,Ordinary shares with voting rights,,"4,319,859,680,000","3,679,859,680,000",,,,
412,412,412,2. Share Premium,,"161,922,351,645","1,976,351,645",,,,
418,418,418,3. Development and investment funds,,"19,572,915,034","19,572,915,034",,,,
421,421,421,4. Retained earnings,,"822,162,477,767","392,161,637,289",,,,
421a,421a,421a,Retained earnings accumulated to the previous year,,"392,161,637,289","273,693,381,156",,,,
421b,421b,421b,Retained earnings of the current year,,"430,000,840,478","118,468,256,133",,,,
440,440,440,TOTAL CAPITAL,,"5,771,764,067,676","4,674,002,384,425",,,,
