row_label_raw,row_label_full,Code,ITEMS,Note,Year 2025VND,Year 2024VND,numeric__ITEMS,numeric__Note,numeric__Year 2025VND,numeric__Year 2024VND
01,01,01,1. Revenue from sales of goods and rendering of services,20,"699,602,810,860","521,410,548,695",,20.0,,
02,02,02,2. Revenue deductions,,-,-,,,,
10,10,10,3. Net revenue from sales of goods and rendering of services,,"699,602,810,860","521,410,548,695",,,,
11,10 > 11,11,4. Cost of goods sold and services rendered,21,"591,664,009,268","468,797,124,675",,21.0,,
20,20,20,5. Gross profit from sales of goods and rendering of services,,"107,938,801,592","52,613,424,020",,,,
21,20 > 21,21,6. Financial income,22,"420,902,511,565","113,593,131,255",,22.0,,
22,20 > 22,22,7. Financial expense,23,"45,885,474,127","9,114,402,444",,23.0,,
23,23,23,In which: Interest expense,,"1,094,162,675",-,,,,
25,23 > 25,25,8. Selling expense,24,"35,228,005,897","31,607,913,376",,24.0,,
26,23 > 26,26,9. General and administrative expenses,25,"7,709,856,963","4,983,244,858",,25.0,,
30,30,30,10. Net profit from operating activities,,"440,017,976,170","120,500,994,597",,,,
31,30 > 31,31,11. Other income,26,"6,300,700,851","7,914,246,452",,26.0,,
32,30 > 32,32,12. Other expenses,27,"410,484,306","1,225,909,524",,27.0,,
40,40,40,13. Other profit,,"5,890,216,545","6,688,336,928",,,,
50,50,50,14. Total net profit before tax,,"445,908,192,715","127,189,331,525",,,,
51,50 > 51,51,15. Current corporate income tax expense,28,"15,907,352,237","8,721,075,392",,28.0,,
60,60,60,17. Profit after corporate income tax,,"430,000,840,478","118,468,256,133",,,,
