row_label_raw,row_label_full,Parent company
Subsidiary company,Subsidiary company,Subsidiary company
Subsidiary company,Subsidiary company,Subsidiary company
Subsidiary company,Subsidiary company,Subsidiary company
"An associate up to June 12, 2025, and a subsidiary from June 12, 2025 onward.","An associate up to June 12, 2025, and a subsidiary from June 12, 2025 onward.","An associate up to June 12, 2025, and a subsidiary from June 12, 2025 onward."
"Subsidiary company of ""CRV""","Subsidiary company of ""CRV""","Subsidiary company of ""CRV"""
"Subsidiary company of ""CRV""","Subsidiary company of ""CRV""","Subsidiary company of ""CRV"""
"Subsidiary company of ""TCH""","Subsidiary company of ""TCH""","Subsidiary company of ""TCH"""
"Subsidiary company of ""TCH""","Subsidiary company of ""TCH""","Subsidiary company of ""TCH"""
"Subsidiary company of ""TCH""","Subsidiary company of ""TCH""","Subsidiary company of ""TCH"""
