row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Purchases – Office rental,Purchases – Office rental,Purchases – Office rental,"630,000,000","630,000,000",,
Hoang Huy Investment Financial Services Joint Stock Company (TCH),Hoang Huy Investment Financial Services Joint Stock Company (TCH),Hoang Huy Investment Financial Services Joint Stock Company (TCH),"630,000,000","630,000,000",,
Financial revenue,Financial revenue,Financial revenue,"386,839,263,600","86,767,928,109",,
Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,-,"63,120,860,109",,
CRV Real Estate Group Joint Stock Company (CRV),CRV Real Estate Group Joint Stock Company (CRV),CRV Real Estate Group Joint Stock Company (CRV),"300,317,763,600","23,647,068,000",,
Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,"86,521,500,000",-,,
Financial expenses,Financial expenses,Financial expenses,"980,219,041",-,,
Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,Pruksa Vietnam Company Limited,"660,766,986",-,,
Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,Hoang Giang Service Development Joint Stock Company,"319,452,055",-,,
Capital contributions received during the period,Capital contributions received during the period,Capital contributions received during the period,"800,000,000,000",-,,
Hoang Huy Investment Financial Services Joint Stock Company (TCH),Hoang Huy Investment Financial Services Joint Stock Company (TCH),Hoang Huy Investment Financial Services Joint Stock Company (TCH),"800,000,000,000",-,,
Loan proceeds received during the period,Loan proceeds received during the period,Loan proceeds received during the period,"159,435,000,000",-,,
Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,"126,935,000,000",-,,
Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,"32,500,000,000",-,,
Loan repayments during the period,Loan repayments during the period,Loan repayments during the period,"159,435,000,000",-,,
Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,"126,935,000,000",-,,
Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,"32,500,000,000",-,,
