row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Tại ngày 31 tháng 12 năm 2017(Triệu VND)","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Khônghuống lãi","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Dưới1 tháng","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 3 đến6 tháng","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 6 đến12 tháng","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Trên 1năm","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Trên 5năm","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Khônghuống lãi","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 3 đến6 tháng","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 6 đến12 tháng","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Trên 1năm","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Trên 5năm","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.996.872,-,-,-,-,-,-,1.996.872,,1996872.0,,,,,,,1996872.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.448.104,-,-,-,-,-,3.448.104,,,3448104.0,,,,,,3448104.0
Tiền gửi và cho vay các TCTDkhác - gộp,Tài sản > Tiền gửi và cho vay các TCTDkhác - gộp,Tiền gửi và cho vay các TCTDkhác - gộp,222.125,-,6.466.057,1.305.807,719.400,-,-,-,8.713.389,222125.0,,6466057.0,1305807.0,719400.0,,,,8713389.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,127.927,-,-,-,-,-,-,127.927,,127927.0,,,,,,,127927.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.024.859,-,24.576.202,4.382.380,2.029.508,2.102.903,898.271,198.580,36.212.703,2024859.0,,24576202.0,4382380.0,2029508.0,2102903.0,898271.0,198580.0,36212703.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,31.896,9.150,-,-,-,-,-,-,41.046,31896.0,9150.0,,,,,,,41046.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,10.189.578,555.825,3.798.000,2.009.900,1.490.000,8.966.700,19.250.320,46.260.323,,10189578.0,555825.0,3798000.0,2009900.0,1490000.0,8966700.0,19250320.0,46260323.0
"Gớp vốn, đầu tư dài hạn","Tài sản > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",-,9.251,-,-,-,-,-,-,9.251,,9251.0,,,,,,,9251.0
Tài sản cố định - thuần,Tài sản > Tài sản cố định - thuần,Tài sản cố định - thuần,-,572.458,-,-,-,-,-,-,572.458,,572458.0,,,,,,,572458.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,859.030,-,-,-,-,-,-,859.030,,859030.0,,,,,,,859030.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,-,16.568.870,-,-,-,-,-,-,16.568.870,,16568870.0,,,,,,,16568870.0
,,,2.278.880,30.333.136,35.046.188,9.486.187,4.758.808,3.592.903,9.864.971,19.448.900,114.809.973,2278880.0,30333136.0,35046188.0,9486187.0,4758808.0,3592903.0,9864971.0,19448900.0,114809973.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Nợ phải trả NHNNVND vàChính phủ,Nợ phải trả > Nợ phải trả NHNNVND vàChính phủ,Nợ phải trả NHNNVND vàChính phủ,-,-,1.990.119,-,-,-,-,29.538,2.019.657,,,1990119.0,,,,,29538.0,2019657.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,17.307.627,11.014.181,1.183.731,28.612,-,-,29.534.151,,,17307627.0,11014181.0,1183731.0,28612.0,,,29534151.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
