row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017(Triệu VND),Quá hạn dưới3 tháng,Quá hạn trên 3 tháng,Đến 1 tháng,Từ 1 đến3 tháng,Từ 3 đến12 tháng,Từ 1 nằm đến5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn dưới3 tháng,numeric__Quá hạn trên 3 tháng,numeric__Đến 1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến12 tháng,numeric__Từ 1 nằm đến5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.996.872,-,-,-,-,1.996.872,,,1996872.0,,,,,1996872.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.448.104,-,-,-,-,3.448.104,,,3448104.0,,,,,3448104.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,222.125,6.466.057,1.305.807,719.400,-,-,8.713.389,,222125.0,6466057.0,1305807.0,719400.0,,,8713389.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,127.927,-,-,-,-,127.927,,,127927.0,,,,,127927.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,1.218.469,806.390,3.485.376,6.428.802,8.892.968,10.481.700,4.898.998,36.212.703,1218469.0,806390.0,3485376.0,6428802.0,8892968.0,10481700.0,4898998.0,36212703.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,31.896,-,-,-,9.150,-,41.046,,31896.0,,,,9150.0,,41046.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,1.202.382,-,1.514.586,24.281.035,19.262.320,46.260.323,,,1202382.0,,1514586.0,24281035.0,19262320.0,46260323.0
"Gớp vốn, đầu tư dài hạn - gộp","Tài sản > Gớp vốn, đầu tư dài hạn - gộp","Gớp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,9.251,9.251,,,,,,,9251.0,9251.0
Tài sản cố định - thuần,Tài sản > Tài sản cố định - thuần,Tài sản cố định - thuần,-,-,-,-,-,418,572.040,572.458,,,,,,418.0,572040.0,572458.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,859.030,-,859.030,,,,,,859030.0,,859030.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,7.150,-,181.409,1.629.263,3.018.991,1.633.386,10.098.671,16.568.870,7150.0,,181409.0,1629263.0,3018991.0,1633386.0,10098671.0,16568870.0
,,,1.225.619,1.060.411,16.908.127,9.363.872,14.145.945,37.264.719,34.841.280,114.809.973,1225619.0,1060411.0,16908127.0,9363872.0,14145945.0,37264719.0,34841280.0,114809973.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,-,-,1.990.119,-,-,-,29.538,2.019.657,,,1990119.0,,,,29538.0,2019657.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,17.307.627,11.014.181,1.212.343,-,-,29.534.151,,,17307627.0,11014181.0,1212343.0,,,29534151.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,26.674.954,11.642.911,15.815.585,2.714.924,141,56.848.515,,,26674954.0,11642911.0,15815585.0,2714924.0,141.0,56848515.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,78.530,612,(26.418),-,-,52.724,,,78530.0,612.0,-26418.0,,,52724.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.047,-,5.267.737,80.115,2.000.000,7.348.899,,,1047.0,,5267737.0,80115.0,2000000.0,7348899.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.698.180,275.641,599.308,139.961,-,2.713.090,,,1698180.0,275641.0,599308.0,139961.0,,2713090.0
,,,-,-,47.750.457,22.933.345,22.868.555,2.935.000,2.029.679,98.517.036,,,47750457.0,22933345.0,22868555.0,2935000.0,2029679.0,98517036.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.225.619,1.060.411,(30.842.330),(13.569.473),(8.722.610),34.329.719,32.811.601,16.292.937,1225619.0,1060411.0,-30842330.0,-13569473.0,-8722610.0,34329719.0,32811601.0,16292937.0
