row_label_raw,row_label_full,col_0,Quá hạn dưới 90 ngàyTriệu VND,Quá hạn từ 91 đến 180 ngàyTriệu VND,Quá hạn từ 181 đến 360 ngàyTriệu VND,Quá hạn trên 360 ngàyTriệu VND,Tổng cộngTriệu VND,numeric__Quá hạn dưới 90 ngàyTriệu VND,numeric__Quá hạn từ 91 đến 180 ngàyTriệu VND,numeric__Quá hạn từ 181 đến 360 ngàyTriệu VND,numeric__Quá hạn trên 360 ngàyTriệu VND,numeric__Tổng cộngTriệu VND
Cho vay khách hàngMua nợ,Cho vay khách hàngMua nợ,Cho vay khách hàngMua nợ,147.506-,5.583-,9.161-,393.71731.896,555.96731.896,,,,39371731896.0,55596731896.0
,,,147.506,5.583,9.161,425.613,587.863,147506.0,5583.0,9161.0,425613.0,587863.0
