row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThượngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThượngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThượngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThượngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThượngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThượngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThượngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThượngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThượngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_4"
,,,USD,EUR,Tiền tệ khácvà vàng,Tổng cộng,,,,
Tại ngày 31 tháng 12 năm 2017(Triệu VND),Tại ngày 31 tháng 12 năm 2017(Triệu VND),Tại ngày 31 tháng 12 năm 2017(Triệu VND),,,,,,,,
Tải sản,Tải sản,Tải sản,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,195.306,262.372,428.802,886.480,195306.0,262372.0,428802.0,886480.0
Tiền gửi tại NHNNVN,Tải sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,337.999,-,-,337.999,337999.0,,,337999.0
Tiền gửi và cho vay các TCTD khác - gộp,Tải sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,2.387.697,57.918,168.232,2.613.847,2387697.0,57918.0,168232.0,2613847.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,3.318.080,-,-,3.318.080,3318080.0,,,3318080.0
Hoạt động mua nợ - gộp,Tải sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,31.896,-,-,31.896,31896.0,,,31896.0
Tải sản có khác - gộp,Tải sản > Tải sản có khác - gộp,Tải sản có khác - gộp,749.570,7.656,11.362,768.588,749570.0,7656.0,11362.0,768588.0
,,,7.020.548,327.946,608.396,7.956.890,7020548.0,327946.0,608396.0,7956890.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,29.538,-,-,29.538,29538.0,,,29538.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,7.506.234,19.181,13.265,7.538.680,7506234.0,19181.0,13265.0,7538680.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,2.738.131,44.708,23.842,2.806.681,2738131.0,44708.0,23842.0,2806681.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(4.775.977),268.399,475.574,(4.032.004),-4775977.0,268399.0,475574.0,-4032004.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,156.895,266,717,157.878,156895.0,266.0,717.0,157878.0
,,,5.654.821,332.554,513.398,6.500.773,5654821.0,332554.0,513398.0,6500773.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,1.365.727,(4.608),94.998,1.456.117,1365727.0,-4608.0,94998.0,1456117.0
