row_label_raw,row_label_full,Loại tiền,Mức tănglãi suất31/12/2018,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuếcho năm kết thúc ngày31/12/2018(Triệu VND),numeric__Mức tănglãi suất31/12/2018,numeric__Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuếcho năm kết thúc ngày31/12/2018(Triệu VND)
VND,VND,VND,"1,00%",(20.166),0.01,-20166.0
USD,USD,USD,"0,25%",(12.123),0.0025,-12123.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,,
Loại tiền,Loại tiền,Loại tiền,Mức tănglãi suất31/12/2017,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuếcho năm kết thúc ngày31/12/2017(Triệu VND),,
VND,Loại tiền > VND,VND,"1,00%",(62.139),0.01,-62139.0
USD,Loại tiền > USD,USD,"0,25%",(9.088),0.0025,-9088.0
