row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sẵn cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sẵn cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,143.451,300.234,1.912,445.597,143451.0,300234.0,1912.0,445597.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,48.767,-,48.767,,48767.0,,48767.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(73.386),(151),-,(73.537),-73386.0,-151.0,,-73537.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,70.065,348.850,1.912,420.827,70065.0,348850.0,1912.0,420827.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.785,201.620,1.133,209.538,6785.0,201620.0,1133.0,209538.0
Khẩu hao trong kỳ,Giá trị hao mòn lũy kế > Khẩu hao trong kỳ,Khẩu hao trong kỳ,1.152,36.115,446,37.713,1152.0,36115.0,446.0,37713.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.937),(151),-,(8.088),-7937.0,-151.0,,-8088.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,237.584,1.579,239.163,,237584.0,1579.0,239163.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,136.666,98.614,779,236.059,136666.0,98614.0,779.0,236059.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,70.065,111.266,333,181.664,70065.0,111266.0,333.0,181664.0
