row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Quá hạn,Không hưởng lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Trên 1 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không hưởng lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Trên 1 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,2.337.874,-,-,-,-,-,-,2.337.874,,2337874.0,,,,,,,2337874.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.406.346,-,-,-,-,-,2.406.346,,,2406346.0,,,,,,2406346.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,226.000,-,15.342.021,4.243.012,-,3.000.000,-,-,22.811.033,226000.0,,15342021.0,4243012.0,,3000000.0,,,22811033.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,127.927,-,-,-,-,-,-,127.927,,127927.0,,,,,,,127927.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.633.775,-,24.383.044,8.457.877,8.206.810,2.080.928,2.432.816,566.993,48.762.243,2633775.0,,24383044.0,8457877.0,8206810.0,2080928.0,2432816.0,566993.0,48762243.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,42.148,-,-,-,-,-,-,-,42.148,42148.0,,,,,,,,42148.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,3.715.050,2.872.474,3.878.000,760.000,2.760.000,6.701.085,20.980.935,41.667.544,,3715050.0,2872474.0,3878000.0,760000.0,2760000.0,6701085.0,20980935.0,41667544.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,10.036,-,-,-,-,-,-,10.036,,10036.0,,,,,,,10036.0
Tài sản cố định - thuần,Tài sản > Tài sản cố định - thuần,Tài sản cố định - thuần,-,330.715,-,-,-,-,-,-,330.715,,330715.0,,,,,,,330715.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,-,1.087.657,1.087.657,,,,,,,,1087657.0,1087657.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,2.701.784,18.549.026,-,-,-,-,-,-,21.250.810,2701784.0,18549026.0,,,,,,,21250810.0
,,,5.603.707,25.070.628,45.003.885,16.578.889,8.966.810,7.840.928,9.133.901,22.635.585,140.834.333,5603707.0,25070628.0,45003885.0,16578889.0,8966810.0,7840928.0,9133901.0,22635585.0,140834333.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,-,-,9.681.073,-,-,-,-,27.315,9.708.388,,,9681073.0,,,,,27315.0,9708388.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,29.407.566,4.109.404,2.211.627,1.942.214,-,-,37.670.811,,,29407566.0,4109404.0,2211627.0,1942214.0,,,37670811.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,30.549.497,12.344.463,10.405.156,7.840.950,1.743.057,645.647,63.528.770,,,30549497.0,12344463.0,10405156.0,7840950.0,1743057.0,645647.0,63528770.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,18.851,111.565,29.048,(3.147),5.975 -,-,162.292,,,18851.0,111565.0,29048.0,-3147.0,,,162292.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,18.932,-,-,2.644.341,3.751.704,2.000.000,8.414.977,,,18932.0,,,2644341.0,3751704.0,2000000.0,8414977.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.458.097,5.199,-,-,-,-,-,4.463.296,,4458097.0,5199.0,,,,,,4463296.0
,,,-,4.458.097,69.681.118,16.565.432,12.645.831,12.424.358,5.500.736,2.672.962,123.948.534,,4458097.0,69681118.0,16565432.0,12645831.0,12424358.0,5500736.0,2672962.0,123948534.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,5.603.707,20.612.531,(24.677.233),13.457,(3.679.021),(4.583.430),3.633.165,19.962.623,16.885.799,5603707.0,20612531.0,-24677233.0,13457.0,-3679021.0,-4583430.0,3633165.0,19962623.0,16885799.0
