row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dư vốn cổ phầnTriệu VND,Cổ phiếu quỹTriệu VND,Quỹ đầu tư phát triểnTriệu VND,Quỹ dự phòng tài chínhTriệu VND,Quỹ dự trữ bổ sung vốn điều lệTriệu VND,Quỹ đầu tư xây dựng cơ bảnTriệu VND,Lợi nhuận chưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dư vốn cổ phầnTriệu VND,numeric__Cổ phiếu quỹTriệu VND,numeric__Quỹ đầu tư phát triểnTriệu VND,numeric__Quỹ dự phòng tài chínhTriệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệTriệu VND,numeric__Quỹ đầu tư xây dựng cơ bảnTriệu VND,numeric__Lợi nhuận chưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,11.750.000,400.000,(270.730),12.958,514.957,134.048,608,1.058.145,13.599.986,11750000.0,400000.0,-270730.0,12958.0,514957.0,134048.0,608.0,1058145.0,13599986.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,122.032,122.032,,,,,,,,122032.0,122032.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,14.661,7.506,-,(22.167),-,,,,,14661.0,7506.0,,-22167.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(76),-,-,-,(76),,,,,-76.0,,,,-76.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,11.750.000,400.000,(270.730),12.958,529.542,141.554,608,1.158.010,13.721.942,11750000.0,400000.0,-270730.0,12958.0,529542.0,141554.0,608.0,1158010.0,13721942.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,11.750.000,400.000,(270.730),12.958,529.542,141.554,608,1.158.010,13.721.942,11750000.0,400000.0,-270730.0,12958.0,529542.0,141554.0,608.0,1158010.0,13721942.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,868.289,868.289,,,,,,,,868289.0,868289.0
Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,-,-,(769.925),-,-,-,-,-,(769.925),,,-769925.0,,,,,,-769925.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,12.772,6.656,-,(19.428),-,,,,,12772.0,6656.0,,-19428.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(152),-,-,-,(152),,,,,-152.0,,,,-152.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,11.750.000,400.000,(1.040.655),12.958,542.162,148.210,608,2.006.871,13.820.154,11750000.0,400000.0,-1040655.0,12958.0,542162.0,148210.0,608.0,2006871.0,13820154.0
