row_label_raw,row_label_full,col_0,Nhà và quyền sử dụng đất,Nhà và quyền sử dụng đất_1,numeric__Nhà và quyền sử dụng đất,numeric__Nhà và quyền sử dụng đất_1
,,,2018Triệu VND,2017Triệu VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,998.650,1.018.285,998650.0,1018285.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,254.436,-,254436.0,
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,(1.236),(19.635),-1236.0,-19635.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.251.850,998.650,1251850.0,998650.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,139.620,122.843,139620.0,122843.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.625,21.315,24625.0,21315.0
Giảm khác trong năm,Giá trị hao mòn lũy kế > Giảm khác trong năm,Giảm khác trong năm,(52),(4.538),-52.0,-4538.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,164.193,139.620,164193.0,139620.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,859.030,895.442,859030.0,895442.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.087.657,859.030,1087657.0,859030.0
