row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Giá trị ghi sổ > Giá trị hợp lý thông qua BCKQHĐKD Triệu VND,Giá trị ghi sổ > Giữ đến ngày đáo hạnTriệu VND,Giá trị ghi sổ > Cho vay và phải thuTriệu VND,Giá trị ghi sổ > Sẵn sàng để bánTriệu VND,Giá trị ghi sổ > Hạch toán theo giá trị phân bổTriệu VND,Giá trị ghi sổ > Tổng cộng giá trị ghi sổTriệu VND,Giá trị hợp lý > Triệu VND,numeric__Giá trị ghi sổ > Giá trị hợp lý thông qua BCKQHĐKD Triệu VND,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạnTriệu VND,numeric__Giá trị ghi sổ > Cho vay và phải thuTriệu VND,numeric__Giá trị ghi sổ > Sẵn sàng để bánTriệu VND,numeric__Giá trị ghi sổ > Hạch toán theo giá trị phân bổTriệu VND,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổTriệu VND,numeric__Giá trị hợp lý > Triệu VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,1.996.872,-,-,-,-,1.996.872,1.996.872,1996872.0,,,,,1996872.0,1996872.0
Tiền gửi tại NHNNVN,Tài sản tài chính > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.448.104,-,-,3.448.104,3.448.104,,,3448104.0,,,3448104.0,3448104.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,8.713.389,-,-,8.713.389,(*),,,8713389.0,,,8713389.0,
Chứng khoán kinh doanh - gộp,Tài sản tài chính > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,127.927,-,-,-,-,127.927,(*),127927.0,,,,,127927.0,
Cho vay khách hàng - gộp,Tài sản tài chính > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,-,36.212.703,-,-,36.212.703,(*),,,36212703.0,,,36212703.0,
Hoạt động mua nợ - gộp,Tài sản tài chính > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,41.046,-,-,41.046,(*),,,41046.0,,,41046.0,
Chứng khoán đầu tư - gộp,Tài sản tài chính > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,9.319.142,-,36.941.181,-,46.260.323,(*),,9319142.0,,36941181.0,,46260323.0,
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,9.251,-,9.251,(*),,,,9251.0,,9251.0,
Tài sản tài chính khác,Tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,-,-,15.772.671,-,-,15.772.671,(*),,,15772671.0,,,15772671.0,
,,,2.124.799,9.319.142,64.187.913,36.950.432,-,112.582.286,,2124799.0,9319142.0,64187913.0,36950432.0,,112582286.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả tài chính > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,-,-,-,-,2.019.657,2.019.657,(*),,,,,2019657.0,2019657.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,29.534.151,29.534.151,(*),,,,,29534151.0,29534151.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,56.848.515,56.848.515,(*),,,,,56848515.0,56848515.0,
Các công cụ tài chính phải sinh,Nợ phải trả tài chính > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,52.724,-,-,-,-,52.724,(*),52724.0,,,,,52724.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,7.348.899,7.348.899,(*),,,,,7348899.0,7348899.0,
Các khoản nợ phải trả tài chính khác,Nợ phải trả tài chính > Các khoản nợ phải trả tài chính khác,Các khoản nợ phải trả tài chính khác,-,-,-,-,2.489.545,2.489.545,(*),,,,,2489545.0,2489545.0,
,,,52.724,-,-,-,98.240.767,98.293.491,,52724.0,,,,98240767.0,98293491.0,
