row_label_raw,row_label_full,col_0,Tại ngày 01 tháng 01 năm 2018 > Giá trị VND,Tại ngày 01 tháng 01 năm 2018 > Số có khả năng trả nợ VND,Tại ngày 01 tháng 01 năm 2018 > Tăng VND,Tại ngày 01 tháng 01 năm 2018 > Giảm VND,Tại ngày 31 tháng 12 năm 2018 > Giá trị VND,Tại ngày 31 tháng 12 năm 2018 > Số có khả năng trả nợ VND,numeric__Tại ngày 01 tháng 01 năm 2018 > Giá trị VND,numeric__Tại ngày 01 tháng 01 năm 2018 > Số có khả năng trả nợ VND,numeric__Tại ngày 01 tháng 01 năm 2018 > Tăng VND,numeric__Tại ngày 01 tháng 01 năm 2018 > Giảm VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Giá trị VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Số có khả năng trả nợ VND
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,-,-,145.700.000.000,-,145.700.000.000,145.700.000.000,,,145700000000.0,,145700000000.0,145700000000.0
Tổng cộng,Vay dài hạn > Tổng cộng,Tổng cộng,-,-,145.700.000.000,-,145.700.000.000,145.700.000.000,,,145700000000.0,,145700000000.0,145700000000.0
