row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2018 > Giá gốc VND,Ngày 31 tháng 12 năm 2018 > Giá trị ghi số VND,Ngày 31 tháng 12 năm 2017 > Giá gốc VND,Ngày 31 tháng 12 năm 2017 > Giá trị ghi số VND,numeric__Ngày 31 tháng 12 năm 2018 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị ghi số VND,numeric__Ngày 31 tháng 12 năm 2017 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2017 > Giá trị ghi số VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (*),Ngắn hạn > Tiền gửi (*),Tiền gửi (*),762.500.000.000,598.500.000.000,1.094.500.000.000,930.500.000.000,762500000000.0,598500000000.0,1094500000000.0,930500000000.0
Trái phiếu (**),Ngắn hạn > Trái phiếu (**),Trái phiếu (**),154.709.500.000,18.941.900.000,204.745.773.580,87.920.073.580,154709500000.0,18941900000.0,204745773580.0,87920073580.0
Trái phiếu Chính phủ,Ngắn hạn > Trái phiếu Chính phủ,Trái phiếu Chính phủ,-,-,50.036.273.580,50.036.273.580,,,50036273580.0,50036273580.0
Trái phiếu doanh nghiệp,Ngắn hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,154.709.500.000,18.941.900.000,154.709.500.000,37.883.800.000,154709500000.0,18941900000.0,154709500000.0,37883800000.0
,,,917.209.500.000,617.441.900.000,1.299.245.773.580,1.018.420.073.580,917209500000.0,617441900000.0,1299245773580.0,1018420073580.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (***),Dài hạn > Tiền gửi (***),Tiền gửi (***),88.000.000.000,88.000.000.000,-,-,88000000000.0,88000000000.0,,
Trái phiếu (**),Dài hạn > Trái phiếu (**),Trái phiếu (**),1.259.530.325.330,1.259.530.325.330,1.279.257.666.502,1.279.257.666.502,1259530325330.0,1259530325330.0,1279257666502.0,1279257666502.0
Trái phiếu Chính phủ,Dài hạn > Trái phiếu Chính phủ,Trái phiếu Chính phủ,200.989.338.309,200.989.338.309,201.231.625.233,201.231.625.233,200989338309.0,200989338309.0,201231625233.0,201231625233.0
Trái phiếu doanh nghiệp,Dài hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,1.058.540.987.021,1.058.540.987.021,1.078.026.041.269,1.078.026.041.269,1058540987021.0,1058540987021.0,1078026041269.0,1078026041269.0
,,,1.347.530.325.330,1.347.530.325.330,1.279.257.666.502,1.279.257.666.502,1347530325330.0,1347530325330.0,1279257666502.0,1279257666502.0
,,,2.264.739.825.330,1.964.972.225.330,2.578.503.440.082,2.297.677.740.082,2264739825330.0,1964972225330.0,2578503440082.0,2297677740082.0
