row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 VND,numeric__Giao dịch,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 VND
Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,,,
Bộ Tài chính SCIC,Bộ Tài chính SCIC,Bộ Tài chính SCIC,Cổ tức đã trảCổ tức đã trả,(482.509.800.000)(22.154.400.000),(482.509.800.000)(22.154.400.000),,,
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Sumitomo Life,Sumitomo Life,Cổ tức đã trảDoanh thu cho thuê văn phòng,(122.509.091.000)577.039.680,(122.509.091.000)408.844.800,,,
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Cổ tức được chiaDoanh thu dịch vụ CNTTDoanh thu lãi tiền gửiDoanh thu lãi trái phiếuDoanh thu phí đào tạoDoanh thu cho thuê văn phòng và phí giữ xe,46.800.000.0003.695.237.0477.796.947.84068.850.000.005-252.219.380,-3.374.373.64813.519.571.66368.850.000.00580.993.3481.467.728.780,,,-3.374373648135196e+49
Bảo Việt Tokio Marine,"Công ty liên doanh, liên kết > Bảo Việt Tokio Marine",Bảo Việt Tokio Marine,Cổ tức được chia,60.875.250.192,36.040.714.302,,60875250192.0,36040714302.0
VIGEBA,"Công ty liên doanh, liên kết > VIGEBA",VIGEBA,Cổ tức đã nhận,750.000.000,1.500.000.000,,750000000.0,1500000000.0
Bảo Việt Resort,"Công ty liên doanh, liên kết > Bảo Việt Resort",Bảo Việt Resort,Cổ tức ưu đãi được chiaMua cổ phần ưu đãi,1.668.528.370-,333.705.67412.303.290.000,,,3.337056741230329e+19
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Chuyển tiền tăng vốnLợi nhuận được nhậnDoanh thu dịch vụ CNTTDoanh thu phí đào tạoThu từ phân bổ chỉ phí,(500.000.000.000)777.100.000.00087.032.988.7595.110.770.1533.679.712.708,-538.000.000.00064.864.638.3621.801.797.0766.557.517.524,,,-5.380000000006487e+42
