row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017VND
Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,41.873.119.306,(55.515.360.224),41873119306.0,-55515360224.0
- Chi phí/(hoàn nhập) dự phòng giảm giáđầu tư,- Chi phí/(hoàn nhập) dự phòng giảm giáđầu tư,- Chi phí/(hoàn nhập) dự phòng giảm giáđầu tư,30.926.253.624,(68.448.883.450),30926253624.0,-68448883450.0
- Chi phí repo,- Chi phí repo,- Chi phí repo,9.464.634.432,11.776.735.681,9464634432.0,11776735681.0
- Các chi phí tài chính khác,- Các chi phí tài chính khác,- Các chi phí tài chính khác,1.482.231.250,1.156.787.545,1482231250.0,1156787545.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,61.799.548.498,58.423.188.050,61799548498.0,58423188050.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,36.883.896.579,22.601.434.871,36883896579.0,22601434871.0
Chi phí mua ngoài hoạt động CNTT,Chi phí mua ngoài hoạt động CNTT,Chi phí mua ngoài hoạt động CNTT,44.392.843.525,33.052.351.211,44392843525.0,33052351211.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,10.152.157.629,9.605.156.546,10152157629.0,9605156546.0
Chi phí đào tạo,Chi phí đào tạo,Chi phí đào tạo,4.920.093.523,4.781.666.986,4920093523.0,4781666986.0
Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,5.951.809.978,7.394.703.899,5951809978.0,7394703899.0
Chi khác,Chi khác,Chi khác,29.341.919.735,21.572.007.798,29341919735.0,21572007798.0
,,,235.315.388.773,101.915.149.137,235315388773.0,101915149137.0
