row_label_raw,row_label_full,col_0,Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018_1,Số phải nộp/(còn được khấu trừ) trong năm,Số (đã nộp)/đã khấu trừ trong năm,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018_1,numeric__Tại ngày 01 tháng 01 năm 2018,numeric__Tại ngày 01 tháng 01 năm 2018_1,numeric__Số phải nộp/(còn được khấu trừ) trong năm,numeric__Số (đã nộp)/đã khấu trừ trong năm,numeric__Tại ngày 31 tháng 12 năm 2018,numeric__Tại ngày 31 tháng 12 năm 2018_1
,,,Phải thu VND,Phải nộp VND,VND,VND,Phải thu VND,Phải nộp VND,,,,,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,6.571.913.708,5.653.543.770,(14.500.000.000),(2.274.542.522),-,,6571913708.0,5653543770.0,-14500000000.0,-2274542522.0,
Thuế GTGT của dự án đầu tư,Thuế GTGT của dự án đầu tư,Thuế GTGT của dự án đầu tư,(24.015.325.345),-,(9.454.545),-,(24.024.779.890),-,-24015325345.0,,-9454545.0,,-24024779890.0,
Thuế GTGT hàng bán nội địa được khấu trừ của dịch vụ CNTT,Thuế GTGT hàng bán nội địa được khấu trừ của dịch vụ CNTT,Thuế GTGT hàng bán nội địa được khấu trừ của dịch vụ CNTT,(1.846.269.254),-,(14.555.983.589),16.179.429.757,(222.823.086),-,-1846269254.0,,-14555983589.0,16179429757.0,-222823086.0,
Thuế GTGT hàng bán nội địa của dịch vụ khác,Thuế GTGT hàng bán nội địa của dịch vụ khác,Thuế GTGT hàng bán nội địa của dịch vụ khác,-,1.159.433.743,7.876.298.838,(7.781.711.001),-,1.254.021.580,,1159433743.0,7876298838.0,-7781711001.0,,1254021580.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,1.417.838.230,25.696.811.901,(24.996.799.548),-,2.117.850.583,,1417838230.0,25696811901.0,-24996799548.0,,2117850583.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,359.939.819,14.652.302.009,(14.663.840.492),-,348.401.336,,359939819.0,14652302009.0,-14663840492.0,,348401336.0
Tổng cộng,Tổng cộng,Tổng cộng,(25.861.594.599),9.509.125.500,39.313.518.384,(45.762.921.284),(26.522.145.498),3.720.273.499,-25861594599.0,9509125500.0,39313518384.0,-45762921284.0,-26522145498.0,3720273499.0
