row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017VND
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,69.127.202.835,72.707.108.557,69127202835.0,72707108557.0
Chi phí vật liệu quản lý và đồ dùng văn phòng,Chi phí vật liệu quản lý và đồ dùng văn phòng,Chi phí vật liệu quản lý và đồ dùng văn phòng,6.946.229.824,3.766.722.384,6946229824.0,3766722384.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,13.875.831.097,9.438.013.594,13875831097.0,9438013594.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",616.493.608,613.551.559,616493608.0,613551559.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,1.122.845.875,778.777.872,1122845875.0,778777872.0
Chi phí tư vấn,Chi phí tư vấn,Chi phí tư vấn,4.477.200.000,4.765.481.221,4477200000.0,4765481221.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,76.238.612.549,80.167.878.858,76238612549.0,80167878858.0
"- Chi tuyên truyền, quảng cáo","- Chi tuyên truyền, quảng cáo","- Chi tuyên truyền, quảng cáo",9.470.767.631,20.710.543.704,9470767631.0,20710543704.0
- Chi phí thuê văn phòng,- Chi phí thuê văn phòng,- Chi phí thuê văn phòng,25.850.294.716,25.820.146.144,25850294716.0,25820146144.0
- Chi khác,- Chi khác,- Chi khác,40.917.550.202,33.637.189.010,40917550202.0,33637189010.0
Chi phí quản lý khác,Chi phí quản lý khác,Chi phí quản lý khác,37.418.165.949,54.029.362.924,37418165949.0,54029362924.0
"- Các khoản trích theo lương, công tác phí","- Các khoản trích theo lương, công tác phí","- Các khoản trích theo lương, công tác phí",16.926.207.927,15.682.801.269,16926207927.0,15682801269.0
"- Chi an sinh xã hội, tài trợ giáo dục, y tế","- Chi an sinh xã hội, tài trợ giáo dục, y tế","- Chi an sinh xã hội, tài trợ giáo dục, y tế",4.291.001.272,5.902.653.800,4291001272.0,5902653800.0
- Chi bảo hiểm con người và bảo hiểm tài sản,- Chi bảo hiểm con người và bảo hiểm tài sản,- Chi bảo hiểm con người và bảo hiểm tài sản,6.254.716.168,10.114.590.560,6254716168.0,10114590560.0
- Chi khác,- Chi khác,- Chi khác,9.946.240.582,22.329.317.295,9946240582.0,22329317295.0
,,,209.822.581.737,226.266.896.969,209822581737.0,226266896969.0
