row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2018,Giá trị ghi số VND > Ngày 31 tháng 12 năm 2018,Giá trị hợp lý VND > Ngày 31 tháng 12 năm 2018,numeric__Giá trị ghi số VND > Ngày 31 tháng 12 năm 2018,numeric__Giá trị hợp lý VND > Ngày 31 tháng 12 năm 2018
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả các bên có liên quan,Nợ phải trả tài chính > Phải trả các bên có liên quan,Phải trả các bên có liên quan,24.605.478.783,24.605.478.783,24605478783.0,24605478783.0
Phải trả tiền đặt cọc,Nợ phải trả tài chính > Phải trả tiền đặt cọc,Phải trả tiền đặt cọc,1.369.703.886,1.369.703.886,1369703886.0,1369703886.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,11.949.020.633,11.949.020.633,11949020633.0,11949020633.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,48.354.330.761,48.354.330.761,48354330761.0,48354330761.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,145.700.000.000,145.700.000.000,145700000000.0,145700000000.0
Giao dịch mua bán lại trái phiếu Chính phủ,Giao dịch mua bán lại trái phiếu Chính phủ,Giao dịch mua bán lại trái phiếu Chính phủ,-,-,,
Tổng cộng,Giao dịch mua bán lại trái phiếu Chính phủ > Tổng cộng,Tổng cộng,231.978.534.063,231.978.534.063,231978534063.0,231978534063.0
Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả các bên có liên quan,Nợ phải trả tài chính > Phải trả các bên có liên quan,Phải trả các bên có liên quan,14.507.857.062,14.507.857.062,14507857062.0,14507857062.0
Phải trả tiền đặt cọc,Nợ phải trả tài chính > Phải trả tiền đặt cọc,Phải trả tiền đặt cọc,10.139.350.470,10.139.350.470,10139350470.0,10139350470.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,22.167.073.238,22.167.073.238,22167073238.0,22167073238.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,40.901.403.035,40.901.403.035,40901403035.0,40901403035.0
Giao dịch mua bán lại trái phiếu Chính phủ,Nợ phải trả tài chính > Giao dịch mua bán lại trái phiếu Chính phủ,Giao dịch mua bán lại trái phiếu Chính phủ,255.708.149.124,255.708.149.124,255708149124.0,255708149124.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,343.423.832.929,343.423.832.929,343423832929.0,343423832929.0
