row_label_raw,row_label_full,Mã số > 50 > 60,CHỈ TIÊU > Lưu chuyển tiền thuần trong năm (50 = 20+30+40) > Tiền và tương đương tiền đầu năm,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > (188.740.234.983) > 236.778.859.306,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > (241.338.364.904) > 478.096.731.969,numeric__CHỈ TIÊU > Lưu chuyển tiền thuần trong năm (50 = 20+30+40) > Tiền và tương đương tiền đầu năm,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > (188.740.234.983) > 236.778.859.306,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > (241.338.364.904) > 478.096.731.969
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,3.207.919,20.492.241,,,3207919.0,20492241.0
70,70,70,Tiền và tương đương tiền cuối năm,5,48.041.832.242,236.778.859.306,,5.0,48041832242.0,236778859306.0
