row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phầnVND,Quỹ đầu tưphát triểnVND,Lợi nhuận sau thuếchưa phân phốiVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Lợi nhuận sau thuếchưa phân phốiVND,numeric__Tổng cộngVND
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Tại ngày 01 tháng 01 năm 2017,Năm trước > Tại ngày 01 tháng 01 năm 2017,Tại ngày 01 tháng 01 năm 2017,6.804.714.340.000,3.184.332.381.197,262.490.696.580,1.914.420.691.335,12.165.958.109.112,6804714340000.0,3184332381197.0,262490696580.0,1914420691335.0,12165958109112.0
- Chia cổ tức cho năm 2016,Năm trước > - Chia cổ tức cho năm 2016,- Chia cổ tức cho năm 2016,-,-,-,(680.471.434.000),(680.471.434.000),,,,-680471434000.0,-680471434000.0
- Trích quỹ khen thưởng phúc lợi,Năm trước > - Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,(59.262.609.891),(59.262.609.891),,,,-59262609891.0,-59262609891.0
- Trích quỹ phục vụ hoạt động An sinh xã hội,Năm trước > - Trích quỹ phục vụ hoạt động An sinh xã hội,- Trích quỹ phục vụ hoạt động An sinh xã hội,-,-,-,(10.217.691.361),(10.217.691.361),,,,-10217691361.0,-10217691361.0
- Trích quỹ đầu tư phát triển,Năm trước > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,153.265.370.408,(153.265.370.408),-,,,153265370408.0,-153265370408.0,
- Lợi nhuận trong năm,Năm trước > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.026.198.329.930,1.026.198.329.930,,,,1026198329930.0,1026198329930.0
- Chi thủ lao cho Hội đồng Quản trị và Ban Kiểm soát,Năm trước > - Chi thủ lao cho Hội đồng Quản trị và Ban Kiểm soát,- Chi thủ lao cho Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.261.219.048),(2.261.219.048),,,,-2261219048.0,-2261219048.0
Tại ngày 31 tháng 12 năm 2017,Năm trước > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,6.804.714.340.000,3.184.332.381.197,415.756.066.988,2.035.140.696.557,12.439.943.484.742,6804714340000.0,3184332381197.0,415756066988.0,2035140696557.0,12439943484742.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Tại ngày 01 tháng 01 năm 2018,Năm nay > Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018,6.804.714.340.000,3.184.332.381.197,415.756.066.988,2.035.140.696.557,12.439.943.484.742,6804714340000.0,3184332381197.0,415756066988.0,2035140696557.0,12439943484742.0
"- Tăng vốn điều lệ theo chương trình lựa chọn chongười lao động (""ESOP"")","Năm nay > - Tăng vốn điều lệ theo chương trình lựa chọn chongười lao động (""ESOP"")","- Tăng vốn điều lệ theo chương trình lựa chọn chongười lao động (""ESOP"")",204.150.000.000,528.748.500.000,-,-,732.898.500.000,204150000000.0,528748500000.0,,,732898500000.0
- Chia cổ tức cho năm 2017,Năm nay > - Chia cổ tức cho năm 2017,- Chia cổ tức cho năm 2017,-,-,-,(700.886.434.000),(700.886.434.000),,,,-700886434000.0,-700886434000.0
- Trích quỹ khen thưởng phúc lợi,Năm nay > - Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,(38.048.025.748),(38.048.025.748),,,,-38048025748.0,-38048025748.0
- Trích quỹ phục vụ hoạt động An sinh xã hội (*),Năm nay > - Trích quỹ phục vụ hoạt động An sinh xã hội (*),- Trích quỹ phục vụ hoạt động An sinh xã hội (*),-,-,-,(10.261.983.299),(10.261.983.299),,,,-10261983299.0,-10261983299.0
- Trích quỹ đầu tư phát triển (*),Năm nay > - Trích quỹ đầu tư phát triển (*),- Trích quỹ đầu tư phát triển (*),-,-,153.929.749.490,(153.929.749.490),-,,,153929749490.0,-153929749490.0,
- Lợi nhuận trong năm,Năm nay > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.051.866.633.336,1.051.866.633.336,,,,1051866633336.0,1051866633336.0
"- Chi thủ lao cho Hội đồng Quản trị, Ban Kiểm soát vàNgười Phụ trách Quản trị","Năm nay > - Chi thủ lao cho Hội đồng Quản trị, Ban Kiểm soát vàNgười Phụ trách Quản trị","- Chi thủ lao cho Hội đồng Quản trị, Ban Kiểm soát vàNgười Phụ trách Quản trị",-,-,-,(2.234.500.001),(2.234.500.001),,,,-2234500001.0,-2234500001.0
- Tăng khác,Năm nay > - Tăng khác,- Tăng khác,-,-,-,53.600.000,53.600.000,,,,53600000.0,53600000.0
Tại ngày 31 tháng 12 năm 2018,Năm nay > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,7.008.864.340.000,3.713.080.881.197,569.685.816.478,2.181.700.237.355,13.473.331.275.030,7008864340000.0,3713080881197.0,569685816478.0,2181700237355.0,13473331275030.0
