row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, thiết bịtruyền dẫnVND","Thiết bị,dung cu quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, thiết bịtruyền dẫnVND","numeric__Thiết bị,dung cu quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Ngày 01 tháng 01 năm 2018- Mua mới trong năm- Điều chỉnh theo quyết toán- Thanh lý trong năm,Ngày 01 tháng 01 năm 2018- Mua mới trong năm- Điều chỉnh theo quyết toán- Thanh lý trong năm,Ngày 01 tháng 01 năm 2018- Mua mới trong năm- Điều chỉnh theo quyết toán- Thanh lý trong năm,331.822.256.058(1.371.615.534)-,111.766.184.02523.153.473.382(362.132.497)(214.013.750),151.584.228.03655.839.724.426(10.151.000)(15.868.534.052),17.452.690.34045.132.809.000-(1.137.099.556),3.200.980.565133.547.700-,615.826.339.024124.259.554.508(1.743.899.031)(17.219.647.358),,,,,,
Ngày 31 tháng 12 năm 2018,Ngày 01 tháng 01 năm 2018- Mua mới trong năm- Điều chỉnh theo quyết toán- Thanh lý trong năm > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,330.450.640.524,134.343.511.160,191.545.267.410,61.448.399.784,3.334.528.265,721.122.347.143,330450640524.0,134343511160.0,191545267410.0,61448399784.0,3334528265.0,721122347143.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hếtChở thanh lý,Trong đó: > Đã khấu hao hếtChở thanh lý,Đã khấu hao hếtChở thanh lý,8.264.120.050-,54.383.888.503-,127.772.545.534-,14.762.829.04432.272.000,895.890.566-,206.079.273.69732.272.000,,,,1.476282904432272e+18,,2.0607927369732272e+19
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Ngày 01 tháng 01 năm 2018- Khấu hao trong năm- Điều chỉnh theo quyết toán- Thanh lý trong năm,Ngày 01 tháng 01 năm 2018- Khấu hao trong năm- Điều chỉnh theo quyết toán- Thanh lý trong năm,Ngày 01 tháng 01 năm 2018- Khấu hao trong năm- Điều chỉnh theo quyết toán- Thanh lý trong năm,105.614.491.25012.971.717.005(254.117.588)-,72.008.946.97915.655.971.621(324.616.566)(214.013.750),147.268.332.2065.687.684.139(10.151.000)(15.868.534.052),16.065.720.2566.517.937.448-(1.137.099.556),1.023.370.607731.164.349-,341.980.861.29841.564.474.562(588.885.154)(17.219.647.358),,,,,,
Ngày 31 tháng 12 năm 2018,Ngày 01 tháng 01 năm 2018- Khấu hao trong năm- Điều chỉnh theo quyết toán- Thanh lý trong năm > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,118.332.090.667,87.126.288.284,137.077.331.293,21.446.558.148,1.754.534.956,365.736.803.348,118332090667.0,87126288284.0,137077331293.0,21446558148.0,1754534956.0,365736803348.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Ngày 01 tháng 01 năm 2018,Giá trị còn lại: > Ngày 01 tháng 01 năm 2018,Ngày 01 tháng 01 năm 2018,226.207.764.808,39.757.237.046,4.315.895.830,1.386.970.084,2.177.609.958,273.845.477.726,226207764808.0,39757237046.0,4315895830.0,1386970084.0,2177609958.0,273845477726.0
Ngày 31 tháng 12 năm 2018,Giá trị còn lại: > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,212.118.549.857,47.217.222.876,54.467.936.117,40.001.841.636,1.579.993.309,355.385.543.795,212118549857.0,47217222876.0,54467936117.0,40001841636.0,1579993309.0,355385543795.0
