row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2018 > Giá gốcVND,Ngày 31 tháng 12 năm 2018 > Giá trị thuầnVND,Ngày 31 tháng 12 năm 2018 > Dự phòngVND,Ngày 31 tháng 12 năm 2017 > Giá gốcVND,Ngày 31 tháng 12 năm 2017 > Giá trị thuầnVND,Ngày 31 tháng 12 năm 2017 > Dự phòngVND,numeric__Ngày 31 tháng 12 năm 2018 > Giá gốcVND,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị thuầnVND,numeric__Ngày 31 tháng 12 năm 2018 > Dự phòngVND,numeric__Ngày 31 tháng 12 năm 2017 > Giá gốcVND,numeric__Ngày 31 tháng 12 năm 2017 > Giá trị thuầnVND,numeric__Ngày 31 tháng 12 năm 2017 > Dự phòngVND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,,,
Công ty Cổ phầnTập đoàn Công nghệ CMC,Cổ phiếu niêm yết > Công ty Cổ phầnTập đoàn Công nghệ CMC,Công ty Cổ phầnTập đoàn Công nghệ CMC,144.000.000.000,87.106.560.000,(56.893.440.000),144.000.000.000,98.368.000.000,(45.632.000.000),144000000000.0,87106560000.0,-56893440000.0,144000000000.0,98368000000.0,-45632000000.0
Tổng Công ty Cổ phần Tài bảo hiểm Quốc gia Việt Nam,Cổ phiếu niêm yết > Tổng Công ty Cổ phần Tài bảo hiểm Quốc gia Việt Nam,Tổng Công ty Cổ phần Tài bảo hiểm Quốc gia Việt Nam,69.901.560.000,69.901.560.000,-,69.901.560.000,69.901.560.000,-,69901560000.0,69901560000.0,,69901560000.0,69901560000.0,
Công ty Cổ phần Vận tải biển Việt Nam,Cổ phiếu niêm yết > Công ty Cổ phần Vận tải biển Việt Nam,Công ty Cổ phần Vận tải biển Việt Nam,59.587.500.000,4.890.000.000,(54.697.500.000),59.587.500.000,10.080.000.000,(49.507.500.000),59587500000.0,4890000000.0,-54697500000.0,59587500000.0,10080000000.0,-49507500000.0
Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Cổ phiếu niêm yết > Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,10.334.361.164,9.632.700.000,(701.661.164),10.334.361.164,10.334.361.164,-,10334361164.0,9632700000.0,-701661164.0,10334361164.0,10334361164.0,
Khác,Cổ phiếu niêm yết > Khác,Khác,365.161,365.161,-,108.814.163.758,108.814.163.758,-,365161.0,365161.0,,108814163758.0,108814163758.0,
,,,283.823.786.325,171.531.185.161,(112.292.601.164),392.637.584.922,297.498.084.922,(95.139.500.000),283823786325.0,171531185161.0,-112292601164.0,392637584922.0,297498084922.0,-95139500000.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,,,
Công ty Cổ phần Tập đoàn SSG,Cổ phiếu chưa niêm yết > Công ty Cổ phần Tập đoàn SSG,Công ty Cổ phần Tập đoàn SSG,225.000.000.000,225.000.000.000,-,225.000.000.000,225.000.000.000,-,225000000000.0,225000000000.0,,225000000000.0,225000000000.0,
Công ty Cổ phần Tập đoàn HiPT,Cổ phiếu chưa niêm yết > Công ty Cổ phần Tập đoàn HiPT,Công ty Cổ phần Tập đoàn HiPT,56.925.000.000,13.789.995.140,(43.135.004.860),56.925.000.000,12.518.295.300,(44.406.704.700),56925000000.0,13789995140.0,-43135004860.0,56925000000.0,12518295300.0,-44406704700.0
Ngân hàng TMCP Hàng hải Việt Nam,Cổ phiếu chưa niêm yết > Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,39.375.420.000,39.375.420.000,-,39.375.420.000,35.478.372.300,(3.897.047.700),39375420000.0,39375420000.0,,39375420000.0,35478372300.0,-3897047700.0
Khác,Cổ phiếu chưa niêm yết > Khác,Khác,21.991.634.000,21.991.634.000,-,21.991.634.000,21.991.634.000,-,21991634000.0,21991634000.0,,21991634000.0,21991634000.0,
,,,343.292.054.000,300.157.049.140,(43.135.004.860),343.292.054.000,294.988.301.600,(48.303.752.400),343292054000.0,300157049140.0,-43135004860.0,343292054000.0,294988301600.0,-48303752400.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,,,
"Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt (""BVFED"")","Chứng chỉ quỹ > Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt (""BVFED"")","Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt (""BVFED"")",25.000.000.000,25.000.000.000,-,25.000.000.000,25.000.000.000,-,25000000000.0,25000000000.0,,25000000000.0,25000000000.0,
"Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt (""BVPF"")","Chứng chỉ quỹ > Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt (""BVPF"")","Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt (""BVPF"")",20.000.000.000,20.000.000.000,-,20.000.000.000,20.000.000.000,-,20000000000.0,20000000000.0,,20000000000.0,20000000000.0,
,,,45.000.000.000,45.000.000.000,-,45.000.000.000,45.000.000.000,-,45000000000.0,45000000000.0,,45000000000.0,45000000000.0,
,,,672.115.840.325,516.688.234.301,(155.427.606.024),780.929.638.922,637.486.386.522,(143.443.252.400),672115840325.0,516688234301.0,-155427606024.0,780929638922.0,637486386522.0,-143443252400.0
