row_label_raw,row_label_full,col_0,End of year,End of year_1,Beginning of year,Beginning of year_1,numeric__End of year,numeric__End of year_1,numeric__Beginning of year,numeric__Beginning of year_1
,,,Book value VND,Provision VND,Book value VND,Provision VND,,,,
Advance to employees (*),Advance to employees (*),Advance to employees (*),"34,027,326,938",,"15,966,394,768",-,,,,
"Interest receivable from related party (Note 7, 34(b))","Interest receivable from related party (Note 7, 34(b))","Interest receivable from related party (Note 7, 34(b))","16,888,624,658",-,"1,811,136,522",-,,,,
Deposit interest,Deposit interest,Deposit interest,"57,072,835",-,"38,331,242",-,,,,
Others,Others,Others,"3,281,694,990",-,"6,152,364,501",-,,,,
,,,"54,254,719,421",-,"23,968,227,033",-,,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,
Related parties (Note 34(b)),Related parties (Note 34(b)),Related parties (Note 34(b)),"16,888,624,658",-,"1,811,136,522",-,,,,
Third parties,Third parties,Third parties,"37,347,353,170",-,"22,157,090,511",-,,,,
,,,"54,235,977,828",-,"23,968,227,033",-,,,,
