row_label_raw,row_label_full,col_0,As at beginning of year VND,Increase VND,Decrease VND,Current portion VND,As at end of year VND,numeric__As at beginning of year VND,numeric__Increase VND,numeric__Decrease VND,numeric__Current portion VND,numeric__As at end of year VND
Borrowings from banks (i),Borrowings from banks (i),Borrowings from banks (i),"840,333,333,335",-,-,"(174,133,333,332)","666,200,000,003",,,,,
Issued bonds (ii),Issued bonds (ii),Issued bonds (ii),"163,517,700,000","494,968,668,814",-,"(60,000,000,000)","598,486,368,814",,,,,
Borrowings from third party,Borrowings from third party,Borrowings from third party,"211,590,000,000",-,-,"(211,590,000,000)",-,,,,,
,,,"1,215,441,033,335","494,968,668,814",-,"(445,723,333,332)","1,264,686,368,817",,,,,
