row_label_raw,row_label_full,Mr. Tan Xuan Hien,Chairman,numeric__Chairman
Mr. Nguyen The Vinh,Mr. Nguyen The Vinh,Mr. Nguyen The Vinh,Independent Member,
Ms. Nguyen Thuy Van,Ms. Nguyen Thuy Van,Ms. Nguyen Thuy Van,Independent Member,
Ms. Pham Thi Khue,Ms. Pham Thi Khue,Ms. Pham Thi Khue,Independent Member,
Mr. Toshihiro Oki,Mr. Toshihiro Oki,Mr. Toshihiro Oki,Non-Executive Member,
Mr. Simon Mark Wilson,Mr. Simon Mark Wilson,Mr. Simon Mark Wilson,Non-Executive Member,
Mr. Dang Huynh Anh Tuan,Mr. Dang Huynh Anh Tuan,Mr. Dang Huynh Anh Tuan,Non-Executive Member,
