row_label_raw,row_label_full,Phải thu về cho vay ngắn hạn (Thuyết minh 7),Số cuối năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 7),Số đầu năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 7),numeric__Số cuối năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 7),numeric__Số đầu năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 7)
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,168.900.000.000,168.900.000.000,168900000000.0,168900000000.0
Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ phần Năng lượng Điện Gió Tiền Giang,-,73.000.000.000,,73000000000.0
,,,168.900.000.000,241.900.000.000,168900000000.0,241900000000.0
Phải thu ngắn hạn khác (Thuyết minh 8),Phải thu ngắn hạn khác (Thuyết minh 8),Phải thu ngắn hạn khác (Thuyết minh 8),Phải thu ngắn hạn khác (Thuyết minh 8),Phải thu ngắn hạn khác (Thuyết minh 8),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh 8) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,16.888.624.658,1.811.136.522,16888624658.0,1811136522.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,
Công ty Cổ phần Thành Thành Nam,Phải thu dài hạn khác > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,498.204.382,498.204.382,498204382.0,498204382.0
Người mua trả tiền trước ngắn hạn (Thuyết minh 15),Người mua trả tiền trước ngắn hạn (Thuyết minh 15),Người mua trả tiền trước ngắn hạn (Thuyết minh 15),Người mua trả tiền trước ngắn hạn (Thuyết minh 15),Người mua trả tiền trước ngắn hạn (Thuyết minh 15),,
Công ty Cổ phần Biên Hòa - Thành Long,Người mua trả tiền trước ngắn hạn (Thuyết minh 15) > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,1.000.000.000,1.000.000.000,1000000000.0,1000000000.0
Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi-Ja,Người mua trả tiền trước ngắn hạn (Thuyết minh 15) > Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi-Ja,Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi-Ja,-,4.385.224.800,,4385224800.0
,,,1.000.000.000,5.385.224.800,1000000000.0,5385224800.0
Vay ngắn hạn (Thuyết minh 19(a)),Vay ngắn hạn (Thuyết minh 19(a)),Vay ngắn hạn (Thuyết minh 19(a)),Vay ngắn hạn (Thuyết minh 19(a)),Vay ngắn hạn (Thuyết minh 19(a)),,
Công ty Cổ phần Năng lượng VPL,Vay ngắn hạn (Thuyết minh 19(a)) > Công ty Cổ phần Năng lượng VPL,Công ty Cổ phần Năng lượng VPL,393.000.000.000,89.000.000.000,393000000000.0,89000000000.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Vay ngắn hạn (Thuyết minh 19(a)) > Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,-,32.000.000.000,,32000000000.0
,,,393.000.000.000,121.000.000.000,393000000000.0,121000000000.0
