row_label_raw,row_label_full,Code,col_1,Note,Current year VND,Previous year VND,numeric__col_1,numeric__Note,numeric__Current year VND,numeric__Previous year VND
01,01,01,Revenue from sales of goods and rendering of services,,"587,263,122,066","617,773,919,700",,,,
02,02,02,Less deductions,,-,-,,,,
10,02 > 10,10,Net revenue from sales of goods and rendering of services (10 = 01 - 02),25,"587,263,122,066","617,773,919,700",,25.0,,
11,02 > 11,11,Cost of goods sold and services rendered,26,"276,325,648,265","276,069,022,590",,26.0,,
20,20,20,Gross profit from sales of goods and rendering of services (20 = 10 - 11),,"310,937,473,801","341,704,897,110",,,,
21,20 > 21,21,Financial income,27,"229,792,536,299","296,241,612,606",,27.0,,
22,20 > 22,22,Financial expenses,28,"359,422,135,386","369,659,375,805",,28.0,,
23,20 > 23,23,- Including: Interest expenses,28,"219,866,767,192","276,986,036,155",,28.0,,
25,25,25,Selling expenses,,-,"285,672,564",,,,
26,25 > 26,26,General and administration expenses,29,"104,976,051,505","124,511,282,387",,29.0,,
30,30,30,Net operating profit (30 = 20 + 21 - 22 - 25 - 26),,"76,331,823,209","143,490,178,960",,,,
31,31,31,Other income,,"1,749,223,930","734,039,179",,,,
32,32,32,Other expenses,,"1,248,039,780","884,161,323",,,,
40,32 > 40,40,Net other income/(expenses) (40 = 31 - 32),30,"501,184,150","(150,122,144)",,30.0,,
50,50,50,Accounting profit before tax (50 = 30 + 40),,"76,833,007,359","143,340,056,816",,,,
51,50 > 51,51,"Corporate income tax (""CIT"") - current",31,"713,356,776","4,118,389,665",,31.0,,
52,50 > 52,52,Corporate income tax - deferred,31,-,-,,31.0,,
60,60,60,Profit after tax (60 = 50 - 51),,"76,119,650,583","139,221,667,151",,,,
