row_label_raw,row_label_full,Related party,Transactions,Current year VND,Previous year VND,numeric__Transactions,numeric__Current year VND,numeric__Previous year VND
Cao Nguyen Energy Joint Stock Company,Cao Nguyen Energy Joint Stock Company,Cao Nguyen Energy Joint Stock Company,Borrowings repayment,"40,000,000,000",-,,,
Cao Nguyen Energy Joint Stock Company,Cao Nguyen Energy Joint Stock Company,Cao Nguyen Energy Joint Stock Company,Borrowings,"40,000,000,000",-,,,
Cao Nguyen Energy Joint Stock Company,Cao Nguyen Energy Joint Stock Company,Cao Nguyen Energy Joint Stock Company,Borrowing interest,"1,426,191,780",-,,,
Cao Nguyen Energy Joint Stock Company,Cao Nguyen Energy Joint Stock Company,Cao Nguyen Energy Joint Stock Company,Revenue from sale of goods and rendering of services,"147,888,888","28,623,656",,,
Cao Nguyen Energy Joint Stock Company,Cao Nguyen Energy Joint Stock Company,Cao Nguyen Energy Joint Stock Company,"Net receipts, payment of behalf, net cash flow","9,364,814","1,048,148",,,
Thanh Thanh Cong Tourism Joint Stock Company,Thanh Thanh Cong Tourism Joint Stock Company,Thanh Thanh Cong Tourism Joint Stock Company,Purchase of goods and services,-,"448,854,040",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Interest income,"15,092,256,168","10,746,047,248",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Revenue from sale of goods and rendering of services,"230,722,000","237,600,000",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,"Net receipts, payment of behalf, net cash flow","9,267,983",-,,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Lending,-,"57,400,000,000",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Lendings collection,-,"39,900,000,000",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Interest income converted to lending principals,-,"9,672,623,730",,,
Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Truong Phu Hydropower Joint Stock Company,Conversion of other receivables into lendings,-,"6,400,000,000",,,
TTC Attapeu Sugar Cane Company Limited,TTC Attapeu Sugar Cane Company Limited,TTC Attapeu Sugar Cane Company Limited,Revenue from sale of goods and rendering of services,"66,720,000","66,720,000",,,
Attapeu Sugar Cane One - Member Limited Company,Attapeu Sugar Cane One - Member Limited Company,Attapeu Sugar Cane One - Member Limited Company,Revenue from sale of goods and rendering of services,"57,000,000",-,,,
