row_label_raw,row_label_full,Code,RESOURCES,Note,End of year VND,Beginning of year VND,numeric__RESOURCES,numeric__Note,numeric__End of year VND,numeric__Beginning of year VND
300,300,300,LIABILITIES,,"2,114,312,537,274","2,487,129,932,898",,,,
310,310,310,Short-term liabilities,,"847,402,991,446","1,269,218,520,109",,,,
311,310 > 311,311,Short-term trade accounts payable,14,"1,795,077,386","1,174,239,883",,14.0,,
312,310 > 312,312,Short-term advances from customers,15,"1,052,108,800","5,385,224,800",,15.0,,
313,313,313,Tax and other payables to the State,16(b),"6,071,501,591","14,121,475,560",,,,
315,313 > 315,315,Short-term accrued expenses,17,"9,810,930,717","35,801,063,175",,17.0,,
319,313 > 319,319,Other short-term payables,18,"5,004,100,821","5,392,481,855",,18.0,,
320,320,320,Short-term borrowings,19(a),"811,614,187,471","1,193,256,032,261",,,,
322,320 > 322,322,Bonus and welfare fund,20,"12,055,084,660","14,088,002,575",,20.0,,
330,330,330,Long-term liabilities,,"1,266,909,545,828","1,217,911,412,789",,,,
336,336,336,Long-term unearned revenue,,"277,272,726","404,545,454",,,,
337,337,337,Other long-term payables,,"14,850,000",-,,,,
338,338,338,Long-term borrowings,19(b),"1,264,686,368,817","1,215,441,033,335",,,,
342,338 > 342,342,Provision for long-term liabilities,21,"1,931,054,285","2,065,834,000",,21.0,,
400,400,400,OWNERS' EQUITY,,"4,426,587,708,049","4,394,523,919,933",,,,
410,410,410,Capital and reserves,,"4,426,587,708,049","4,394,523,919,933",,,,
411,411,411,Owners' capital,"22, 23","4,225,083,710,000","4,054,494,010,000",,,,
411a,411a,411a,- Ordinary shares with voting rights,,"3,583,083,710,000","3,412,494,010,000",,,,
411b,411b,411b,- Preference shares,,"642,000,000,000","642,000,000,000",,,,
412,411b > 412,412,Share premium,23,"20,700,057,484","20,700,057,484",,23.0,,
418,411b > 418,418,Investment and development fund,23,"53,742,765,946","53,916,437,884",,23.0,,
421,411b > 421,421,Undistributed earnings,23,"127,061,174,619","265,413,414,565",,23.0,,
421a,421a,421a,- Undistributed post-tax profits of previous years,,"94,823,714,565","172,744,514,829",,,,
421b,421b,421b,- Post-tax profits of current year,,"32,237,460,054","92,668,899,736",,,,
440,440,440,TOTAL RESOURCES,,"6,540,900,245,323","6,881,653,852,831",,,,
