row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,"Mua hàng hóa, dịch vụ",23.765.073.359,26.076.521.626,,23765073359.0,26076521626.0
Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Chia và chi trả cổ tức cổ phần ưu đãi,40.076.208.000,39.290.400.000,,40076208000.0,39290400000.0
Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),"Mua hàng hóa, dịch vụ",860.314.299,-,,860314299.0,
Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Nhận chi phí hỗ trợ,453.640.775,972.532.305,,453640775.0,972532305.0
Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Deutsche Investitions- und Entwicklungsgesellschaft mbH (DEG),Phí dịch vụ,-,6.429.497.864,,,6429497864.0
Công ty Cổ phần Hàng tiêu dùng Biên Hòa,Công ty Cổ phần Hàng tiêu dùng Biên Hòa,Công ty Cổ phần Hàng tiêu dùng Biên Hòa,"Mua hàng hóa, dịch vụ",-,51.878.400,,,51878400.0
Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Cổ tức được chia,59.609.782.000,74.512.227.500,,59609782000.0,74512227500.0
Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Doanh thu bán hàng và cung cấp dịch vụ,17.180.884.000,16.809.600.000,,17180884000.0,16809600000.0
Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,"Thu, chỉ hộ, dòng tiền thuần",480.834.888,620.585.930,,480834888.0,620585930.0
Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Mua hàng hóa dịch vụ,430.925,-,,430925.0,
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Thu hồi tài sản thuần sau giải thể công ty con,-,8.255.944.462,,,8255944462.0
