row_label_raw,row_label_full,col_0,Number of shares,Ordinary shares VND,Preferred shares VND,Total VND,numeric__Number of shares,numeric__Ordinary shares VND,numeric__Preferred shares VND,numeric__Total VND
As at 1 January 2023,As at 1 January 2023,As at 1 January 2023,"386,136,902","3,219,369,020,000","642,000,000,000","3,861,369,020,000",,,,
Share dividend issued,Share dividend issued,Share dividend issued,"19,312,499","193,124,990,000",-,"193,124,990,000",,,,
As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,"405,449,401","3,412,494,010,000","642,000,000,000","4,054,494,010,000",,,,
Share dividend issued,Share dividend issued,Share dividend issued,"17,058,970","170,589,700,000",-,"170,589,700,000",,,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,"422,508,371","3,583,083,710,000","642,000,000,000","4,225,083,710,000",,,,
