row_label_raw,row_label_full,col_0,col_1,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Tỷ lệ sở hữu theo vốn điều lệ (%),Tỷ lệ sở hữu theo vốn điều lệ (%)_1,Tỷ lệ quyền biểu quyết (%),Tỷ lệ quyền biểu quyết (%)_1,numeric__col_1,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu theo vốn điều lệ (%),numeric__Tỷ lệ sở hữu theo vốn điều lệ (%)_1,numeric__Tỷ lệ quyền biểu quyết (%),numeric__Tỷ lệ quyền biểu quyết (%)_1
,,,,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,,
(b),(b),(b),Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,,,,
1.,(b) > 1.,1.,Công ty Cổ phần Điện gió Lavi (ii),Thành phố Hồ Chí Minh,"Sản xuất, truyền tải và phân phối điện",-,"94,38",-,"99,99",,,,,94.38,,99.99
2.,(b) > 2.,2.,Công ty Cổ phần Năng lượng điện Cao Nguyên,Tỉnh Đắk Lắk,"Sản xuất, truyền tải và phân phối điện","99,99","99,99","99,99","99,99",,,,99.99,99.99,99.99,99.99
(c),(c),(c),Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,
1.,(c) > 1.,1.,Công ty Cổ phần Thủy điện Trường Phú,Tỉnh Thừa Thiên Huế,"Sản xuất, truyền tải và phân phối điện","25,09","25,09","25,09","25,09",,,,25.09,25.09,25.09,25.09
2.,(c) > 2.,2.,Công ty Cổ phần Năng lượng Solwind,Thành phố Hồ Chí Minh,Hoạt động tư vấn và quản lý điện có liên quan,"49,99","49,99","49,99","49,99",,,,49.99,49.99,49.99,49.99
(i),(i),(i),"Vào ngày 23 tháng 10 năm 2024, Công ty đã thực hiện góp vốn vào Công ty Cổ phần Năng lượng Tái tạo Tân Thành (""TTR"") với số tiền là 5 tỷ đồng, chiểm tỷ lệ sở hữu và biểu quyết là 99.99% của TTR.","Vào ngày 23 tháng 10 năm 2024, Công ty đã thực hiện góp vốn vào Công ty Cổ phần Năng lượng Tái tạo Tân Thành (""TTR"") với số tiền là 5 tỷ đồng, chiểm tỷ lệ sở hữu và biểu quyết là 99.99% của TTR.","Vào ngày 23 tháng 10 năm 2024, Công ty đã thực hiện góp vốn vào Công ty Cổ phần Năng lượng Tái tạo Tân Thành (""TTR"") với số tiền là 5 tỷ đồng, chiểm tỷ lệ sở hữu và biểu quyết là 99.99% của TTR.","Vào ngày 23 tháng 10 năm 2024, Công ty đã thực hiện góp vốn vào Công ty Cổ phần Năng lượng Tái tạo Tân Thành (""TTR"") với số tiền là 5 tỷ đồng, chiểm tỷ lệ sở hữu và biểu quyết là 99.99% của TTR.","Vào ngày 23 tháng 10 năm 2024, Công ty đã thực hiện góp vốn vào Công ty Cổ phần Năng lượng Tái tạo Tân Thành (""TTR"") với số tiền là 5 tỷ đồng, chiểm tỷ lệ sở hữu và biểu quyết là 99.99% của TTR.","Vào ngày 23 tháng 10 năm 2024, Công ty đã thực hiện góp vốn vào Công ty Cổ phần Năng lượng Tái tạo Tân Thành (""TTR"") với số tiền là 5 tỷ đồng, chiểm tỷ lệ sở hữu và biểu quyết là 99.99% của TTR.","Vào ngày 23 tháng 10 năm 2024, Công ty đã thực hiện góp vốn vào Công ty Cổ phần Năng lượng Tái tạo Tân Thành (""TTR"") với số tiền là 5 tỷ đồng, chiểm tỷ lệ sở hữu và biểu quyết là 99.99% của TTR.",,,,,,,
(ii),(ii),(ii),"Trong năm, thông qua Công ty Cổ phần Điện TTC Đức Huế - Long An và Công ty Cổ phần Năng lượng VPL, Công ty đã hoàn tất chuyên nhượng 9.999.980 cổ phần, tương đương 94.38% tỷ lệ lợi ích vốn chủ sở hữu của Công ty tại Công ty Cổ phần Điện gió Lavi (""Lavi"") cho Công ty Cổ phần Năng lượng Solwind (""Solwind"") – một công ty liên kết. Theo đó, tại ngày 31 tháng 12 năm 2024, Lavi không còn là công ty con thuộc Tập đoàn.","Trong năm, thông qua Công ty Cổ phần Điện TTC Đức Huế - Long An và Công ty Cổ phần Năng lượng VPL, Công ty đã hoàn tất chuyên nhượng 9.999.980 cổ phần, tương đương 94.38% tỷ lệ lợi ích vốn chủ sở hữu của Công ty tại Công ty Cổ phần Điện gió Lavi (""Lavi"") cho Công ty Cổ phần Năng lượng Solwind (""Solwind"") – một công ty liên kết. Theo đó, tại ngày 31 tháng 12 năm 2024, Lavi không còn là công ty con thuộc Tập đoàn.","Trong năm, thông qua Công ty Cổ phần Điện TTC Đức Huế - Long An và Công ty Cổ phần Năng lượng VPL, Công ty đã hoàn tất chuyên nhượng 9.999.980 cổ phần, tương đương 94.38% tỷ lệ lợi ích vốn chủ sở hữu của Công ty tại Công ty Cổ phần Điện gió Lavi (""Lavi"") cho Công ty Cổ phần Năng lượng Solwind (""Solwind"") – một công ty liên kết. Theo đó, tại ngày 31 tháng 12 năm 2024, Lavi không còn là công ty con thuộc Tập đoàn.","Trong năm, thông qua Công ty Cổ phần Điện TTC Đức Huế - Long An và Công ty Cổ phần Năng lượng VPL, Công ty đã hoàn tất chuyên nhượng 9.999.980 cổ phần, tương đương 94.38% tỷ lệ lợi ích vốn chủ sở hữu của Công ty tại Công ty Cổ phần Điện gió Lavi (""Lavi"") cho Công ty Cổ phần Năng lượng Solwind (""Solwind"") – một công ty liên kết. Theo đó, tại ngày 31 tháng 12 năm 2024, Lavi không còn là công ty con thuộc Tập đoàn.","Trong năm, thông qua Công ty Cổ phần Điện TTC Đức Huế - Long An và Công ty Cổ phần Năng lượng VPL, Công ty đã hoàn tất chuyên nhượng 9.999.980 cổ phần, tương đương 94.38% tỷ lệ lợi ích vốn chủ sở hữu của Công ty tại Công ty Cổ phần Điện gió Lavi (""Lavi"") cho Công ty Cổ phần Năng lượng Solwind (""Solwind"") – một công ty liên kết. Theo đó, tại ngày 31 tháng 12 năm 2024, Lavi không còn là công ty con thuộc Tập đoàn.","Trong năm, thông qua Công ty Cổ phần Điện TTC Đức Huế - Long An và Công ty Cổ phần Năng lượng VPL, Công ty đã hoàn tất chuyên nhượng 9.999.980 cổ phần, tương đương 94.38% tỷ lệ lợi ích vốn chủ sở hữu của Công ty tại Công ty Cổ phần Điện gió Lavi (""Lavi"") cho Công ty Cổ phần Năng lượng Solwind (""Solwind"") – một công ty liên kết. Theo đó, tại ngày 31 tháng 12 năm 2024, Lavi không còn là công ty con thuộc Tập đoàn.","Trong năm, thông qua Công ty Cổ phần Điện TTC Đức Huế - Long An và Công ty Cổ phần Năng lượng VPL, Công ty đã hoàn tất chuyên nhượng 9.999.980 cổ phần, tương đương 94.38% tỷ lệ lợi ích vốn chủ sở hữu của Công ty tại Công ty Cổ phần Điện gió Lavi (""Lavi"") cho Công ty Cổ phần Năng lượng Solwind (""Solwind"") – một công ty liên kết. Theo đó, tại ngày 31 tháng 12 năm 2024, Lavi không còn là công ty con thuộc Tập đoàn.",,,,,,,
(*),(*),(*),"Tại ngày cuối năm, Công ty chưa góp đủ vốn vào các công ty con này. Chi tiết cam kết góp vốn được trình bày tại Thuyết minh 36(a).","Tại ngày cuối năm, Công ty chưa góp đủ vốn vào các công ty con này. Chi tiết cam kết góp vốn được trình bày tại Thuyết minh 36(a).","Tại ngày cuối năm, Công ty chưa góp đủ vốn vào các công ty con này. Chi tiết cam kết góp vốn được trình bày tại Thuyết minh 36(a).","Tại ngày cuối năm, Công ty chưa góp đủ vốn vào các công ty con này. Chi tiết cam kết góp vốn được trình bày tại Thuyết minh 36(a).","Tại ngày cuối năm, Công ty chưa góp đủ vốn vào các công ty con này. Chi tiết cam kết góp vốn được trình bày tại Thuyết minh 36(a).","Tại ngày cuối năm, Công ty chưa góp đủ vốn vào các công ty con này. Chi tiết cam kết góp vốn được trình bày tại Thuyết minh 36(a).","Tại ngày cuối năm, Công ty chưa góp đủ vốn vào các công ty con này. Chi tiết cam kết góp vốn được trình bày tại Thuyết minh 36(a).",,,,,,,
