row_label_raw,row_label_full,col_0,As at beginning of year VND,Increase VND,Decrease VND,Current portion of long-term borrowings VND,As at end of year VND,numeric__As at beginning of year VND,numeric__Increase VND,numeric__Decrease VND,numeric__Current portion of long-term borrowings VND,numeric__As at end of year VND
Borrowings from banks (i),Borrowings from banks (i),Borrowings from banks (i),"86,726,183,099","113,357,411,648","(161,874,020,607)",-,"38,209,574,140",,,,,
Borrowings from related parties (Note 34(b)),Borrowings from related parties (Note 34(b)),Borrowings from related parties (Note 34(b)),"121,000,000,000","683,008,860,276","(411,008,860,276)",-,"393,000,000,000",,,,,
Borrowings from third party (ii),Borrowings from third party (ii),Borrowings from third party (ii),-,-,-,"211,590,000,000","211,590,000,000",,,,,
Current portion of issued bonds (Note 19(b)),Current portion of issued bonds (Note 19(b)),Current portion of issued bonds (Note 19(b)),"848,615,235,831",-,"(848,615,235,831)","60,000,000,000","60,000,000,000",,,,,
Current portion of long-term borrowings from banks (Note 19(b)),Current portion of long-term borrowings from banks (Note 19(b)),Current portion of long-term borrowings from banks (Note 19(b)),"136,833,333,332",-,"(202,233,333,332)","174,133,333,332","108,733,333,332",,,,,
Others,Others,Others,"81,279,999",-,-,-,"81,279,999",,,,,
,,,"1,193,256,032,261","796,366,271,924","(1,623,731,450,046)","445,723,333,332","811,614,187,471",,,,,
