row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải,truyền dẫnVND",Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải,truyền dẫnVND",numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,1.035.226.568.284,1.736.255.354.986,190.795.554.932,38.027.594.380,29.469.491.081,3.029.774.563.663,1035226568284.0,1736255354986.0,190795554932.0,38027594380.0,29469491081.0,3029774563663.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.404.155.751,644.165.374,58.000.000,846.250.000,2.952.571.125,,1404155751.0,644165374.0,58000000.0,846250000.0,2952571125.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(695.609.091),-,-,(695.609.091),,,-695609091.0,,,-695609091.0
Khác,Nguyên giá > Khác,Khác,-,(313.277.834),-,-,-,(313.277.834),,-313277834.0,,,,-313277834.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,1.035.226.568.284,1.737.346.232.903,190.744.111.215,38.085.594.380,30.315.741.081,3.031.718.247.863,1035226568284.0,1737346232903.0,190744111215.0,38085594380.0,30315741081.0,3031718247863.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,411.805.713.452,569.598.970.382,87.015.254.727,30.215.911.610,19.305.233.249,1.117.941.083.420,411805713452.0,569598970382.0,87015254727.0,30215911610.0,19305233249.0,1117941083420.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,40.850.991.016,86.275.483.596,8.760.597.332,2.683.583.846,1.882.792.317,140.453.448.107,40850991016.0,86275483596.0,8760597332.0,2683583846.0,1882792317.0,140453448107.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,-,(695.609.091),-,-,(695.609.091),,,-695609091.0,,,-695609091.0
Khác,Khấu hao lũy kế > Khác,Khác,-,(23.523.903),-,-,-,(23.523.903),,-23523903.0,,,,-23523903.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,452.656.704.468,655.850.930.075,95.080.242.968,32.899.495.456,21.188.025.566,1.257.675.398.533,452656704468.0,655850930075.0,95080242968.0,32899495456.0,21188025566.0,1257675398533.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,623.420.854.832,1.166.656.384.604,103.780.300.205,7.811.682.770,10.164.257.832,1.911.833.480.243,623420854832.0,1166656384604.0,103780300205.0,7811682770.0,10164257832.0,1911833480243.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,582.569.863.816,1.081.495.302.828,95.663.868.247,5.186.098.924,9.127.715.515,1.774.042.849.330,582569863816.0,1081495302828.0,95663868247.0,5186098924.0,9127715515.0,1774042849330.0
