row_label_raw,row_label_full,Ms. Nguyen Thai Ha,General Director,numeric__General Director
Mr. Le Thanh Vinh,Mr. Le Thanh Vinh,Mr. Le Thanh Vinh,Permanent Deputy General Director,
Mr. Nguyen Phong Phu,Mr. Nguyen Phong Phu,Mr. Nguyen Phong Phu,Deputy General Director,
