row_label_raw,row_label_full,col_0,End of year,End of year_1,End of year_2,Beginning of year,Beginning of year_1,Beginning of year_2,numeric__End of year,numeric__End of year_1,numeric__End of year_2,numeric__Beginning of year,numeric__Beginning of year_1,numeric__Beginning of year_2
,,,Cost VND,Fair value VND,Provision VND,Cost VND,Fair value VND,Provision VND,,,,,,
Gia Lai Hydropower Joint Stock Company (*),Gia Lai Hydropower Joint Stock Company (*),Gia Lai Hydropower Joint Stock Company (*),"544,162,584,932","841,940,098,441",-,"544,162,584,932","783,765,857,814",-,,,,,,
Tien Giang Wind Power Joint Stock Company,Tien Giang Wind Power Joint Stock Company,Tien Giang Wind Power Joint Stock Company,"1,360,624,800,000",(**),"(196,688,597,020)","1,360,624,800,000",(**),"(69,568,996,965)",,,,,,
TTC Duc Hue - Long An Electricity Joint Stock Company (***),TTC Duc Hue - Long An Electricity Joint Stock Company (***),TTC Duc Hue - Long An Electricity Joint Stock Company (***),"1,037,312,640,000",(**),-,"1,037,312,640,000",(**),-,,,,,,
VPL Energy Joint Stock Company,VPL Energy Joint Stock Company,VPL Energy Joint Stock Company,"590,990,260,000",(**),"(2,925,430,748)","590,990,260,000",(**),-,,,,,,
Truc Son Solar Power Plant Joint Stock Company,Truc Son Solar Power Plant Joint Stock Company,Truc Son Solar Power Plant Joint Stock Company,"348,843,130,000",(**),-,"348,843,130,000",(**),-,,,,,,
Ia Bang Wind Electricity Join Stock Company,Ia Bang Wind Electricity Join Stock Company,Ia Bang Wind Electricity Join Stock Company,"258,000,000,000",(**),-,"258,000,000,000",(**),-,,,,,,
VI-JA Renewable Energy Development Cooperation Joint Stock Company (***),VI-JA Renewable Energy Development Cooperation Joint Stock Company (***),VI-JA Renewable Energy Development Cooperation Joint Stock Company (***),"148,500,000,000",(**),-,"148,500,000,000",(**),-,,,,,,
Thuong Lo Hydropower One - Member Limited Company,Thuong Lo Hydropower One - Member Limited Company,Thuong Lo Hydropower One - Member Limited Company,"81,206,201,240",(**),-,"81,206,201,240",(**),-,,,,,,
Tien Giang Renewable Energy Joint Stock Company,Tien Giang Renewable Energy Joint Stock Company,Tien Giang Renewable Energy Joint Stock Company,"3,400,000,000",(**),"(190,161,233)","3,400,000,000",(**),"(148,095,190)",,,,,,
Gia Lai Consultancy and Energy Development One - Member Company Limited,Gia Lai Consultancy and Energy Development One - Member Company Limited,Gia Lai Consultancy and Energy Development One - Member Company Limited,"1,500,000,000",(**),-,"1,500,000,000",(**),"(221,058,071)",,,,,,
Ca Mau Green Energy Joint Stock Company,Ca Mau Green Energy Joint Stock Company,Ca Mau Green Energy Joint Stock Company,"1,900,000,000",(**),"(79,207,180)","1,900,000,000",(**),"(30,437,427)",,,,,,
Tan Thanh Renewable Power Joint Stock Company,Tan Thanh Renewable Power Joint Stock Company,Tan Thanh Renewable Power Joint Stock Company,"5,000,000,000",(**),"(83,952,963)",-,(**),-,,,,,,
,,,"4,381,439,616,172",,"(199,967,349,144)","4,376,439,616,172",,"(69,968,587,653)",,,,,,
